clave_nombre,id,sku,nombre_comercial,molecula,forma,laboratorio,foto_url,total_grupo,lab_distintos
AMLODIPINA 10 MG,37427,ME32016/2,AMLODIPINA 10 mg X 10 TABLETAS,Amlodipino,TABLETAS,"CALOX INTERNATIONAL, C.A.",https://pccentro.net.ve/img/s/1/8/1/9/3/18193-large_default.webp,9,3
AMLODIPINA 10 MG,37428,ME32016/3,AMLODIPINA 10 mg X 30 TABLETAS,Amlodipino,TABLETAS,"CALOX INTERNATIONAL, C.A.",https://mav.farmaciasaas.com/api/images/articulos/DISTRIBUCION/12054.jpg,9,3
AMLODIPINA 10 MG,37429,ME39126/2,AMLODIPINA 10 mg X 20 TABLETAS,,TABLETAS,"CALOX INTERNATIONAL, C.A.",https://mav.farmaciasaas.com/api/images/articulos/DISTRIBUCION/92638.jpg,9,3
AMLODIPINA 10 MG,37430,ME39126/3,AMLODIPINA 10 mg X 30 TABLETAS,,TABLETAS,"CALOX INTERNATIONAL, C.A.",https://mav.farmaciasaas.com/api/images/articulos/DISTRIBUCION/53795.jpg,9,3
AMLODIPINA 10 MG,39035,ME30270/2,AMLODIPINA 10 mg X 20 TABLETAS,Amlodipino,TABLETAS,"LABORATORIOS KIMICEG, C.A.",https://pccentro.net.ve/img/s/1/8/1/9/3/18193-large_default.webp,9,3
AMLODIPINA 10 MG,39036,ME30270/3,AMLODIPINA 10 mg X 30 TABLETAS,Amlodipino,TABLETAS,"LABORATORIOS KIMICEG, C.A.",https://pccentro.net.ve/img/s/1/8/1/9/3/18193-large_default.webp,9,3
AMLODIPINA 5 MG,37426,ME38145,AMLODIPINA 5 mg X 30 COMPRIMIDOS,Amlodipino,COMPRIMIDOS,"LABORATORIOS LETI, S.A.V.",https://mav.farmaciasaas.com/api/images/articulos/DISTRIBUCION/9206.jpg,5,4
AMLODIPINA 5 MG,37431,ME28705/2,AMLODIPINA 5 mg X 10 TABLETAS,Amlodipino,TABLETAS,"CALOX INTERNATIONAL, C.A.",https://mav.farmaciasaas.com/api/images/articulos/DISTRIBUCION/2417.jpg,5,4
AMLODIPINA 5 MG,37432,ME28705/3,AMLODIPINA 5 mg X 30 TABLETAS,Amlodipino,TABLETAS,"CALOX INTERNATIONAL, C.A.",https://mav.farmaciasaas.com/api/images/articulos/DISTRIBUCION/10982.jpg,5,4
AMLODIPINA 5 MG,37433,ME31230,AMLODIPINA 5 mg X 30 TABLETAS,,TABLETAS,"LABORATORIO COFASA, S.A.",https://mav.farmaciasaas.com/api/images/articulos/DISTRIBUCION/12027.jpg,5,4
AMLODIPINA 5 MG,39041,ME30269,AMLODIPINA 5 mg X 30 TABLETAS,Amlodipino,TABLETAS,"LABORATORIOS KIMICEG, C.A.",https://pccentro.net.ve/img/s/7/8/3/5/9/78359-large_default.webp,5,4
AMOXICILINA 500 MG,37438,ME43040,AMOXICILINA 500 mg X 10 CAPSULAS,,CAPSULAS,"JIANGXI XIER KANGTAI PHARMACEUTICAL CO., LTD",https://mav.farmaciasaas.com/api/images/articulos/DISTRIBUCION/53253.jpg,6,4
