clave_mf,id,sku,nombre_comercial,molecula,forma,laboratorio,foto_url,total_grupo
ACETAMINOFEN ||| TABLETAS,37321,ME23275/4,ACETAMINOFEN 500 mg X 24 TABLETAS,Acetaminofen,TABLETAS,"LABORATORIO PLUSANDEX DE FARMACEUTICOS UNIDOS, PLUSANDEX, C.A.",https://mav.farmaciasaas.com/api/images/articulos/DISTRIBUCION/22401.jpg,30
ACETAMINOFEN ||| TABLETAS,37324,ME37095,ACETAMINOFEN 500 mg X 20 TABLETAS,Acetaminofen,TABLETAS,"SM PHARMA, C.A.",https://mav.farmaciasaas.com/api/images/articulos/DISTRIBUCION/7537.jpg,30
ACETAMINOFEN ||| TABLETAS,37331,ME30496/2,ACEVAL 650 mg X 10 TABLETAS,Acetaminofen,TABLETAS,"LABORATORIOS VALMOR, C.A.",https://mav.farmaciasaas.com/api/images/articulos/DISTRIBUCION/646.jpg,30
ACETAMINOFEN ||| TABLETAS,37332,ME30496/3,ACEVAL 650 mg X 50 TABLETAS,Acetaminofen,TABLETAS,"LABORATORIOS VALMOR, C.A.",https://mav.farmaciasaas.com/api/images/articulos/DISTRIBUCION/24308.jpg,30
ACETAMINOFEN ||| TABLETAS,37398,ME34933,AMITAFEN FORTE 650 mg X 10 TABLETAS,Acetaminofen,TABLETAS,"CALOX INTERNATIONAL, C.A.",https://mav.farmaciasaas.com/api/images/articulos/DISTRIBUCION/94308.jpg,30
ACETAMINOFEN ||| TABLETAS,37459,ME42977,ANANTY 650 mg X 10 TABLETAS,Acetaminofen,TABLETAS,"LABORATORIO PLUSANDEX DE FARMACEUTICOS UNIDOS, PLUSANDEX, C.A.",https://mav.farmaciasaas.com/api/images/articulos/DISTRIBUCION/6868.jpg,30
ACETAMINOFEN ||| TABLETAS,37475,ME43225,APIRET FORTE 650 mg X 10 TABLETAS,Acetaminofen,TABLETAS,"LABORATORIOS L.O. OFTALMI, C.A.",https://mav.farmaciasaas.com/api/images/articulos/DISTRIBUCION/50410.jpg,30
ACETAMINOFEN ||| TABLETAS,37478,ME43224,APIRET 500 mg X 10 TABLETAS,Acetaminofen,TABLETAS,"LABORATORIOS L.O. OFTALMI, C.A.",https://mav.farmaciasaas.com/api/images/articulos/DISTRIBUCION/28791.jpg,30
ACETAMINOFEN ||| TABLETAS,37507,ME33008,ATAMEL FORTE 650 mg X 10 TABLETAS,Acetaminofen,TABLETAS,"CALOX INTERNATIONAL, C.A.",https://mav.farmaciasaas.com/api/images/articulos/DISTRIBUCION/3689.jpg,30
ACETAMINOFEN ||| TABLETAS,37508,ME19621/2,ATAMEL 500 mg X 10 TABLETAS,Acetaminofen,TABLETAS,"CALOX INTERNATIONAL, C.A.",https://pccentro.net.ve/img/s/8/7/8/2/6/87826-large_default.webp,30
ACETAMINOFEN ||| TABLETAS,37509,ME19621/3,ATAMEL 500 mg X 20 TABLETAS,Acetaminofen,TABLETAS,"CALOX INTERNATIONAL, C.A.",https://mav.farmaciasaas.com/api/images/articulos/DISTRIBUCION/3692.jpg,30
ACETAMINOFEN ||| TABLETAS,37972,ME32091,DOLKIDS 160 mg X 20 TABLETAS MASTICABLES,Acetaminofen,TABLETAS,"CALOX INTERNATIONAL, C.A.",https://mav.farmaciasaas.com/api/images/articulos/DISTRIBUCION/5370.jpg,30
ACETAMINOFEN ||| TABLETAS,38068,ME32558,FEBRILIX 500 mg X 20 TABLETAS,Acetaminofen,TABLETAS,"LABORATORIOS KIMICEG, C.A.",https://mav.farmaciasaas.com/api/images/articulos/DISTRIBUCION/7037.jpg,30
ACETAMINOFEN ||| TABLETAS,38574,ME35872,NORSINA 500 mg - 10 mg X 12 TABLETAS,Acetaminofen,TABLETAS,"BIOTECH LABORATORIOS, C.A.",https://mav.farmaciasaas.com/api/images/articulos/DISTRIBUCION/97499.jpg,30
ACETAMINOFEN ||| TABLETAS,38579,ME42194,NOXPIRIN GRIP X 12 TABLETAS,Acetaminofen,TABLETAS,LABORATORIOS SIEGFRIED S.A.,https://mav.farmaciasaas.com/api/images/articulos/DISTRIBUCION/20329.jpg,30
ACETAMINOFEN ||| TABLETAS,38820,ME40210,TACHIFORTE 1 g X 20 TABLETAS,Acetaminofen,TABLETAS,"LABORATORIOS ELMOR, S.A.",https://mav.farmaciasaas.com/api/images/articulos/DISTRIBUCION/13061.jpg,30
ACETAMINOFEN ||| TABLETAS,38821,ME35368,TACHIFORTE 650 mg X 10 TABLETAS,Acetaminofen,TABLETAS,"LABORATORIOS ELMOR, S.A.",https://mav.farmaciasaas.com/api/images/articulos/DISTRIBUCION/93366.jpg,30
ACETAMINOFEN ||| TABLETAS,38947,ME35075,VESTAX 650 mg X 10 TABLETAS,Acetaminofen,TABLETAS,"LABORATORIOS VARGAS, S.A.",https://mav.farmaciasaas.com/api/images/articulos/DISTRIBUCION/9373.jpg,30
ACETAMINOFEN ||| TABLETAS,39010,ME33906,ACETAMINOFEN 650 mg X 10 TABLETAS,Acetaminofen,TABLETAS,"CALOX INTERNATIONAL, C.A.",https://pccentro.net.ve/img/s/2/2/8/6/3/22863-large_default.webp,30
ACETAMINOFEN ||| TABLETAS,39011,ME43427/2,ACETAMINOFEN 500 mg X 10 TABLETAS,Acetaminofen,TABLETAS,"LABORATORIOS L.O. OFTALMI, C.A.",https://mav.farmaciasaas.com/api/images/articulos/DISTRIBUCION/22931.jpg,30
ACETAMINOFEN ||| TABLETAS,39012,ME43427/3,ACETAMINOFEN 500 mg X 30 TABLETAS,Acetaminofen,TABLETAS,"LABORATORIOS L.O. OFTALMI, C.A.",https://pccentro.net.ve/img/s/8/7/8/2/6/87826-large_default.webp,30
ACETAMINOFEN ||| TABLETAS,39303,ME44313,MIDOL 500 mg X 10 TABLETAS,Acetaminofen,TABLETAS,"GEMA LABS, C.A.",https://pccentro.net.ve/img/s/8/7/8/2/6/87826-large_default.webp,30
ACETAMINOFEN ||| TABLETAS,39304,ME44314,MIDOL FORTE 650 mg X 10 TABLETAS,Acetaminofen,TABLETAS,"GEMA LABS, C.A.",https://pccentro.net.ve/img/s/2/2/8/6/3/22863-large_default.webp,30
ACETAMINOFEN ||| TABLETAS,39380,ME19288,TACHIPIRIN 500 mg X 20 TABLETAS,Acetaminofen,TABLETAS,"LABORATORIOS ELMOR, S.A.",https://pccentro.net.ve/img/s/8/7/8/2/6/87826-large_default.webp,30
ACETAMINOFEN ||| JARABE,37312,ME43707,ACETAMINOFEN 150 mg / 5 mL JARABE,Acetaminofen,JARABE,AARTI PHARMALABS LIMITED,https://pccentro.net.ve/img/s/1/8/1/9/5/18195-large_default.webp,3
ACETAMINOFEN ||| JARABE,39008,ME31636,ACETAMINOFEN 120 mg / 5 mL JARABE,Acetaminofen,JARABE,"LABORATORIO COFASA, S.A.",https://mav.farmaciasaas.com/api/images/articulos/DISTRIBUCION/1978.jpg,3
ACETAMINOFEN ||| JARABE,39433,ME24736,ATAMEL 120 mg / 5 mL JARABE,Acetaminofen,JARABE,"CALOX INTERNATIONAL, C.A.",https://mav.farmaciasaas.com/api/images/articulos/DISTRIBUCION/50583.jpg,3
ACETAMINOFEN ||| SOLUCION ORAL,37313,ME40083,ACETAMINOFEN 120 mg/5mL SOLUCION ORAL,Acetaminofen,SOLUCION ORAL,"SM PHARMA, C.A.",https://mav.farmaciasaas.com/api/images/articulos/DISTRIBUCION/53087.jpg,15
ACETAMINOFEN ||| SOLUCION ORAL,37314,ME40084,ACETAMINOFEN 180 mg/5 mL SOLUCION ORAL,Acetaminofen,SOLUCION ORAL,"SM PHARMA, C.A.",https://mav.farmaciasaas.com/api/images/articulos/DISTRIBUCION/14455.jpg,15
ACETAMINOFEN ||| SOLUCION ORAL,37315,ME42488,ACETAMINOFEN 180 mg / 5 mL SOLUCION ORAL,Acetaminofen,SOLUCION ORAL,"LABORATORIOS LETI, S.A.V.",https://mav.farmaciasaas.com/api/images/articulos/DISTRIBUCION/51788.jpg,15
