producto_id,sku,nombre_comercial,molecula_texto,forma,linea,laboratorio,fuente_inhrr_ef,foto_url,disponible,costo_usd,precio_usd
37609,ME39097,BROFLEMA 8 MG / 5 ML SOLUCION ORAL,,SOLUCION ORAL,Linea Farmacia,BIOTECH LABORATORIOS C.A.,E.F.39.097,https://mav.farmaciasaas.com/api/images/articulos/DISTRIBUCION/94046.jpg,true,4.03,6.72
37615,ME40260,BROMEXINA CLORHIDRATO 4 MG / 5 ML JARABE,,JARABE,Linea Farmacia,SM PHARMA C.A.,E.F.G.40.260,,true,4.45,7.42
37616,ME35158,BROMHEXINA CLORHIDRATO 8 MG / 5 ML JARABE,,JARABE,Linea Farmacia,LABORATORIOS SPEFAR VENEZOLANOS S.A.,E.F.G.35.158,,true,4.53,7.55
37617,ME36318,BROMHEXINA CLORHIDRATO 8 MG / 5 ML JARABE,,JARABE,Linea Farmacia,LABORATORIO BIOGALENIC C.A.,E.F.G.36.318,,true,4.57,7.62
37637,ME30197,CALCIBON 200 MG X 30 TABLETAS RECUBIERTOS,,TABLETAS,Linea Farmacia,LABORATORIOS FARMA S.A.,E.F.30.197,,true,10.56,17.60
37645,ME36763/2,CALOXPIRINA 81 MG X 30 TABLETAS ENTERICAS,,TABLETAS,Linea Farmacia,CALOX INTERNATIONAL C.A.,E.F.36.763,https://mav.farmaciasaas.com/api/images/articulos/DISTRIBUCION/92195.jpg,true,2.09,3.48
37646,ME36763/3,CALOXPIRINA 81 MG X 100 TABLETAS ENTERICAS,,TABLETAS,Linea Farmacia,CALOX INTERNATIONAL C.A.,E.F.36.763,https://mav.farmaciasaas.com/api/images/articulos/DISTRIBUCION/29545.jpg,true,5.52,9.20
37648,ME25320,CAMPAL 50 MG X 20 TABLETAS ENTERICAS,,TABLETAS,Linea Farmacia,LABORATORIOS SIEGFRIED S.A.,E.F.25.320,,true,5.95,9.92
37649,ME40363/3,CANDER HCT 16 MG - 12.5 MG X 30 TABLETAS,,TABLETAS,Linea Farmacia,LABORATORIOS VALMOR C.A.,E.F.40.363,https://mav.farmaciasaas.com/api/images/articulos/DISTRIBUCION/99153.jpg,true,10.66,17.77
37650,ME40363/2,CANDER HCT 16 MG - 12.5 MG X 10 TABLETAS,,TABLETAS,Linea Farmacia,LABORATORIOS VALMOR C.A.,E.F.40.363,,true,4.83,8.05
37655,ME43341,CANDESARTAN CILETEXILO – HIDROCLOROTIAZIDA 8 MG – 12.5 MG TABLETAS RECUBIERTAS,,TABLETAS,Linea Farmacia,MASCOT HEALTH SERIES PVT. LTD.,E.F.G.43.341,,true,2.65,4.42
37663,ME37841,CANDESARTAN 8 MG X 30 TABLETAS,,TABLETAS,Linea Farmacia,LABORATORIO LA SANTE C.A.,E.F.G.37.841,https://mav.farmaciasaas.com/api/images/articulos/DISTRIBUCION/23944.jpg,true,2.64,4.40
37665,ME40335,CANFIR 500 MG X 30 COMPRIMIDOS RECUBIERTOS DE LIBERACION PROLONGADA,,COMPRIMIDOS,Linea Farmacia,LABORATORIOS LETI S.A.V.,E.F.40.335,,true,22.2,37.00
37668,MI1290,OXIGENO MEDICINAL,,,Linea Farmacia,AGA GAS C.A.,E.F.G.1.290,,true,0.96,1.60
37687,ME39963,CARIBAN 10 MG-10 MG X 30 COMPRIMIDOS ENTERICOS,,COMPRIMIDOS,Linea Farmacia,LABORATORIOS LETI S.A.V.,E.F.39.963,https://mav.farmaciasaas.com/api/images/articulos/DISTRIBUCION/99559.jpg,true,16.5,27.50
37703,ME23270,CEBION 1 G X 10 TABLETAS EFERVESCENTES SABOR A NARANJA,,TABLETAS,Linea Farmacia,ALTEA FARMACEUTICA S.A.,E.F.23.270,https://mav.farmaciasaas.com/api/images/articulos/DISTRIBUCION/5017.jpg,true,9.9,16.50
37704,ME30368,CEFADROXILO 500 MG X 10 CAPSULAS,,CAPSULAS,Linea Farmacia,FARMACOOP LTDA.,E.F.G.30.368,,true,4.77,7.95
37719,HO33864,CEFTRIAXONA 1 G X 1 AMPOLLA,,INYECTABLE,Linea Hospitalaria,VITALIS S.A.C.I.,E.F.G.33.864,,true,2.48,4.13
37731,ME37217,CETRAL D 5 MG - 60 MG / 5 ML SOLUCION ORAL,,SOLUCION ORAL,Linea Farmacia,LABORATORIOS SIEGFRIED S.A.,E.F.37.217,https://mav.farmaciasaas.com/api/images/articulos/DISTRIBUCION/91326.jpg,true,4.64,7.73
37734,ME33334/2,VITAMINA C 500 MG X 15 TABLETAS MASTICABLES SABOR A PINA,,TABLETAS,Linea Farmacia,CALOX INTERNATIONAL C.A.,E.F.G.33.334,,true,4.96,8.27
37735,ME33334/3,VITAMINA C 500 MG X 30 TABLETAS MASTICABLES SABOR A PINA,,TABLETAS,Linea Farmacia,CALOX INTERNATIONAL C.A.,E.F.G.33.334,,true,8.08,13.47
37742,HO9190,CIFARCAINA AL 2 % X 2 AMPOLLAS,,INYECTABLE,Linea Hospitalaria,LABORATORIO BEHRENS C.A.,E.F.9.190,,true,9.6,16.00
37743,HO9189,CIFARCAINA AL 1 % SOLUCION INYECTABLE,,INYECTABLE,Linea Hospitalaria,LABORATORIO BEHRENS C.A.,E.F.9.189,https://mav.farmaciasaas.com/api/images/articulos/DISTRIBUCION/836.jpg,true,8.36,13.93
