producto_id,sku,nombre_comercial,nucleo,molecula,forma,laboratorio,categoria,fuente,gates,url_en_ledger,desc_candidata,foto_candidata
37714,ME44329,CEFIXIMA 400 MG X 5 TABLETAS RECUBIERTAS,CEFIXIMA,Cefixima,TABLETAS,CALOX INTERNATIONAL C.A.,no_match_fuentes,,,,,
37715,ME44129,CEFIXIMA 400 MG X 10 TABLETAS DISPERSABLES,CEFIXIMA,Cefixima,TABLETAS,BAROQUE PHARMACEUTICALS PVT. LTD.,no_match_fuentes,,,,,
37717,HO43171,CEFOPERAZONA - SULBACTAM 1 G - 0.5 G X 1 AMPOLLA,CEFOPERAZONA - SULBACTAM,Sulbactam,INYECTABLE,REYOUNG PHARMACEUTICAL CO. LTD,no_match_fuentes,,,,,
37718,ME43917,CEFOTAS 500 MG X 20 CAPSULAS,CEFOTAS,Cefadroxilo,CAPSULAS,SYNTOFARMA S.A.,no_match_fuentes,,,,,
37720,HO29420,CEFTRIAXONA 1 G POLVO PARA SOLUCION INYECTABLE,CEFTRIAXONA,Ceftriaxona,INYECTABLE,"EMPRESA FARMACEUTICA ""8 DE MARZO""",no_match_fuentes,,,,,
37722,ME41586,CELECOXIB 200 MG X 10 CAPSULAS,CELECOXIB,Celecoxib,CAPSULAS,CALOX INTERNATIONAL C.A.,no_match_fuentes,,,,,
37730,ME44603,CETIRIZINA 5 MG / 5 ML SOLUCION ORAL,CETIRIZINA,Cetirizina,SOLUCION ORAL,ANTILA LIFESCIENCES PVT. LTD. (GANDHINAGAR),no_match_fuentes,,,,,
37734,ME33334/2,VITAMINA C 500 MG X 15 TABLETAS MASTICABLES SABOR A PINA,VITAMINA C,,TABLETAS,CALOX INTERNATIONAL C.A.,no_match_fuentes,,,,,
37735,ME33334/3,VITAMINA C 500 MG X 30 TABLETAS MASTICABLES SABOR A PINA,VITAMINA C,,TABLETAS,CALOX INTERNATIONAL C.A.,no_match_fuentes,,,,,
37742,HO9190,CIFARCAINA AL 2 % X 2 AMPOLLAS,CIFARCAINA AL,,INYECTABLE,LABORATORIO BEHRENS C.A.,no_match_fuentes,,,,,
37744,ME43391,CILOSTAZOL 50 MG X 30 TABLETAS RECUBIERTAS,CILOSTAZOL,Cilostazol,TABLETAS,RONALD PHARMACEUTICALS PVT. LTD.,no_match_fuentes,,,,,
37745,ME42967,CILOSTAZOL 100 MG X 30 TABLETAS,CILOSTAZOL,Cilostazol,TABLETAS,WEST-COAST PHARMACEUTICAL WORKS LTD,no_match_fuentes,,,,,
37749,ME39629,PROFITIP 100 MG X 30 TABLETAS,PROFITIP,,TABLETAS,MACLEODS PHARMACEUTICALS LTD,no_match_fuentes,,,,,
37758,ME27827/2,CIPROFLOXACINA 500 MG X 5 TABLETAS RECUBIERTAS,CIPROFLOXACINA,,TABLETAS,CALOX INTERNATIONAL C.A.,no_match_fuentes,,,,,
37761,ME42422,CIPROFLOXACINO 500 MG X 10 TABLETAS RECUBIERTAS,CIPROFLOXACINO,Ciprofloxacino,TABLETAS,SWISS PARENTERALS LTD,no_match_fuentes,,,,,
37763,ME35266,CITALOPRAM 40 MG X 10 TABLETAS RECUBIERTAS,CITALOPRAM,Citalopram,TABLETAS,CALOX INTERNATIONAL C.A.,no_match_fuentes,,,,,
37766,ME36822/3,CITRATO DE CALCIO 1190 MG X 60 TABLETAS MASTICABLES SABOR A MANDARINA,CITRATO DE CALCIO,,TABLETAS,CALOX INTERNATIONAL C.A.,no_match_fuentes,,,,,
37768,ME33790,CALCITREX D3 1500 MG - 200 UI X 30 TABLETAS,CALCITREX,,TABLETAS,LABORATORIOS L.O. OFTALMI C.A.,no_match_fuentes,,,,,
37769,ME42521,CITRAPOL SOLUCION,CITRAPOL SOLUCION,Citrico Acido,LOCION,SM PHARMA C.A.,no_match_fuentes,,,,,
37771,ME25929,CLARIX 0.25 MG / ML SOLUCION NASAL,CLARIX,,SOLUCION NASAL,LABORATORIOS L.O. OFTALMI C.A.,no_match_fuentes,,,,,
37774,ME23979,CLENBUNAL 0.005 MG / 5 ML SOLUCION ORAL,CLENBUNAL,,SOLUCION ORAL,MEGALABS S.A.,no_match_fuentes,,,,,
37775,ME29289,CLENBUNAL 0.014 MG / ML SOLUCION ORAL,CLENBUNAL,,SOLUCION ORAL,MEGALABS S.A.,no_match_fuentes,,,,,
37777,ME31537,AMBROXOL-CLENBUTEROL 7.5 MG-0.005 MG / 5 ML SOLUCION ORAL,AMBROXOL-CLENBUTEROL,Ambroxol,SOLUCION ORAL,LABORATORIOS KIMICEG C.A.,no_match_fuentes,,,,,
37778,ME31538,AMBROXOL-CLENBUTEROL 15 MG - 0.01 MG / 5 ML SOLUION ORAL,AMBROXOL-CLENBUTEROL,Ambroxol,SOLUCION ORAL,LABORATORIOS KIMICEG C.A.,no_match_fuentes,,,,,
37783,ME44654,CLINDAMICINA 300 MG X 16 CAPSULAS,CLINDAMICINA,Clindamicina,CAPSULAS,ANMOL HEALTHCARE LABORATORY PVT LTD,no_match_fuentes,,,,,
37784,ME31466,CLINDAMICINA 300 MG X 20 CAPSULAS,CLINDAMICINA,Clindamicina,CAPSULAS,LABORATORIO LA SANTE C.A.,no_match_fuentes,,,,,
37787,ME33581,CLOFEN 1.8 MG / ML SUSPENSION ORAL,CLOFEN,,SUSPENSION ORAL,ESPECIALIDADES DOLLDER C.A.,no_match_fuentes,,,,,
37792,ME38584,CLONAZEPAM 0.5 MG X 30 TABLETAS,CLONAZEPAM,Clonazepam,TABLETAS,CALOX INTERNATIONAL C.A.,no_match_fuentes,,,,,
37793,ME38585,CLONAZEPAM 2 MG X 30 TABLETAS,CLONAZEPAM,Clonazepam,TABLETAS,CALOX INTERNATIONAL C.A.,no_match_fuentes,,,,,
37795,HO31483/3,CLONIDINA CLORHIDRATO 0.150 MG / ML X 30 AMPOLLAS,CLONIDINA CLORHIDRATO,,INYECTABLE,LABORATORIOS VALMOR C.A.,no_match_fuentes,,,,,
37802,ME34084/3,CLOPIDOGREL 75 MG X 20 COMPRIMIDOS RECUBIERTOS,CLOPIDOGREL,Clopidogrel,COMPRIMIDOS,LABORATORIOS LETI S.A.V.,no_match_fuentes,,,,,
37803,ME34084/4,CLOPIDOGREL 75 MG X 30 COMPRIMIDOS RECUBIERTOS,CLOPIDOGREL,Clopidogrel,COMPRIMIDOS,LABORATORIOS LETI S.A.V.,no_match_fuentes,,,,,
37806,ME43375,CLOPIDOGREL 75 MG X 30 TABLETAS RECUBIERTAS,CLOPIDOGREL,Clopidogrel,TABLETAS,JIANGXI XIER KANGTAI PHARMACEUTICAL CO. LTD,no_match_fuentes,,,,,
37810,ME29314,CLORACE 125 - 0.5 MG / 5 ML SOLUCION ORAL,CLORACE,,SOLUCION ORAL,LABORATORIO COFASA S.A.,no_match_fuentes,,,,,
37816,ME43585/3,DOPALEN 200 MG X 20 CAPSULAS DE LIBERACION PROLONGADA,DOPALEN,Mebeverina,CAPSULAS,BIOTECH LABORATORIOS C.A.,no_match_fuentes,,,,,
37817,ME34033,CLORTALIDONA 25 MG X 30 TABLETAS,CLORTALIDONA,Clortalidona,TABLETAS,EMPRESA LABORATORIOS MEDSOL,no_match_fuentes,,,,,
37819,HO1672,SOLUCION ISOTONICA DE CLORURO DE SODIO(SOL.FISIOLOGICA)PARENTERAL,SOLUCION ISOTONICA DE CLORURO DE SODIO(SOL.FISIOLOGICA)PARENTERAL,,INYECTABLE,LABORATORIOS FLUPAL C.A.,no_match_fuentes,,,,,
37821,ME43020,CLOTRIMAZOL 200 MG CAPSULAS BLANDAS VAGINALES,CLOTRIMAZOL,Clotrimazol,CAPSULAS,CALOX INTERNATIONAL C.A.,no_match_fuentes,,,,,
