id,sku,nombre_comercial,descripcion,marca_id,precio_usd,foto_url,activo,created_at,updated_at,molecula,linea,forma,disponible,requiere_cotizacion,visible_catalogo,es_cotizacion,pais_id,fuente_inhrr_ef,laboratorio,costo_usd,presentacion,unidades_por_presentacion
38326,ME33641/2,LETISAN 500 mg X 10 COMPRIMIDOS RECUBIERTOS DE ACCION PROLONGADA,,,7.80,,true,Wed Sep 09 2026 16:24:34 GMT-0400 (hora de Venezuela),Wed Sep 09 2026 16:24:34 GMT-0400 (hora de Venezuela),,Linea Farmacia,COMPRIMIDOS,true,false,true,false,,E.F.33.641,"LABORATORIOS LETI, S.A.V.",4.68,X 10 COMPRIMIDOS RECUBIERTOS DE ACCION PROLONGADA,10
38327,ME33641/3,LETISAN 500 mg X 30 COMPRIMIDOS RECUBIERTOS DE ACCION PROLONGADA,,,19.02,,true,Wed Sep 09 2026 16:24:34 GMT-0400 (hora de Venezuela),Wed Sep 09 2026 16:24:34 GMT-0400 (hora de Venezuela),,Linea Farmacia,COMPRIMIDOS,true,false,true,false,,E.F.33.641,"LABORATORIOS LETI, S.A.V.",11.41,X 30 COMPRIMIDOS RECUBIERTOS DE ACCION PROLONGADA,30
38328,ME37661,"LETROZOL 2,5 mg X 30 TABLETAS RECUBIERTAS",LETROZOL,,17.10,,true,Wed Sep 09 2026 16:24:34 GMT-0400 (hora de Venezuela),Wed Sep 09 2026 16:24:34 GMT-0400 (hora de Venezuela),Letrozol,Linea Farmacia,TABLETAS,true,false,true,false,,E.F.37.661,INTAS PHARMACEUTICAS LTD. INDIA,10.26,X 30 TABLETAS RECUBIERTAS,30
38329,ME42905,LEVAMOX 750 mg X 10 TABLETAS RECUBIERTAS,,,21.82,,true,Wed Sep 09 2026 16:24:34 GMT-0400 (hora de Venezuela),Wed Sep 09 2026 16:24:34 GMT-0400 (hora de Venezuela),,Linea Farmacia,TABLETAS,true,false,true,false,,E.F.42.905,ZENITH HEALTHCARE LTD,13.09,X 10 TABLETAS RECUBIERTAS,10
38330,ME41919,LEVETIRACETAM 1000 mg X 10 COMPRIMIDOS RECUBIERTOS,LEVETIRACETAM,,17.03,,true,Wed Sep 09 2026 16:24:34 GMT-0400 (hora de Venezuela),Wed Sep 09 2026 16:24:34 GMT-0400 (hora de Venezuela),Levetiracetam,Linea Farmacia,COMPRIMIDOS,true,false,true,false,,E.F.G.41.919,"BLUEPHARMA - INDUSTRIA FARMACEUTICA, S.A.",10.22,X 10 COMPRIMIDOS RECUBIERTOS,10
38331,ME43729,LEVETIRACETAM 500 mg X 30 TABLETAS RECUBIERTAS,LEVETIRACETAM,,18.25,,true,Wed Sep 09 2026 16:24:34 GMT-0400 (hora de Venezuela),Wed Sep 09 2026 16:24:34 GMT-0400 (hora de Venezuela),Levetiracetam,Linea Farmacia,TABLETAS,true,false,true,false,,E.F.G.43.729,SG HEALTHCARE PVT. LTD.,10.95,X 30 TABLETAS RECUBIERTAS,30
38332,HO37449,LEVOFLOXACINA 500 mg/100mL SOLUCION PARA INFUSION INTRAVENOSA,LEVOFLOXACINA,,2.52,,true,Wed Sep 09 2026 16:24:34 GMT-0400 (hora de Venezuela),Wed Sep 09 2026 16:24:34 GMT-0400 (hora de Venezuela),Levofloxacino,Linea Hospitalaria,INYECTABLE,true,false,true,false,,E.F.G.37.449,"EUROFARMA LABORATORIOS, S.A.",1.51,,
38333,ME43817,LEVOFLOXACINO 500 mg X 10 TABLETAS RECUBIERTAS,LEVOFLOXACINA,,13.53,,true,Wed Sep 09 2026 16:24:34 GMT-0400 (hora de Venezuela),Wed Sep 09 2026 16:24:34 GMT-0400 (hora de Venezuela),Levofloxacino,Linea Farmacia,TABLETAS,true,false,true,false,,E.F.G.43.817,"JIANGXI SYNERGY PHARMACEUTICAL CO., LTD",8.12,X 10 TABLETAS RECUBIERTAS,10
38334,ME32188,LEVOFLOXACINA 500 mg X 10 COMPRIMIDOS RECUBIERTOS,LEVOFLOXACINA,,7.75,,true,Wed Sep 09 2026 16:24:34 GMT-0400 (hora de Venezuela),Wed Sep 09 2026 16:24:34 GMT-0400 (hora de Venezuela),Levofloxacino,Linea Farmacia,COMPRIMIDOS,true,false,true,false,,E.F.G.32.188,"LABORATORIOS LETI, S.A.V.",4.65,X 10 COMPRIMIDOS RECUBIERTOS,10
38335,ME43531/2,LEVOFLOXACINA 750 mg X 5 TABLETAS RECUBIERTAS,LEVOFLOXACINA HEMIHIDRATO,,15.23,,true,Wed Sep 09 2026 16:24:34 GMT-0400 (hora de Venezuela),Wed Sep 09 2026 16:24:34 GMT-0400 (hora de Venezuela),Levofloxacino,Linea Farmacia,TABLETAS,true,false,true,false,,E.F.G.43.531,ANG LIFESCIENCES INDIA LTD,9.14,X 5 TABLETAS RECUBIERTAS,5
38336,ME43531/3,LEVOFLOXACINA 750 mg X 7 TABLETAS RECUBIERTAS,LEVOFLOXACINA HEMIHIDRATO,,6.50,,true,Wed Sep 09 2026 16:24:34 GMT-0400 (hora de Venezuela),Wed Sep 09 2026 16:24:34 GMT-0400 (hora de Venezuela),Levofloxacino,Linea Farmacia,TABLETAS,true,false,true,false,,E.F.G.43.531,ANG LIFESCIENCES INDIA LTD,3.9,X 7 TABLETAS RECUBIERTAS,7
38337,ME43531/4,LEVOFLOXACINA 750 mg X 10 TABLETAS RECUBIERTAS,LEVOFLOXACINA HEMIHIDRATO,,16.18,,true,Wed Sep 09 2026 16:24:34 GMT-0400 (hora de Venezuela),Wed Sep 09 2026 16:24:34 GMT-0400 (hora de Venezuela),Levofloxacino,Linea Farmacia,TABLETAS,true,false,true,false,,E.F.G.43.531,ANG LIFESCIENCES INDIA LTD,9.71,X 10 TABLETAS RECUBIERTAS,10
38338,ME35920/3,LEVOFLOXACINA 500 mg X 10 TABLETAS RECUBIERTAS,LEVOFLOXACINA,,5.15,,true,Wed Sep 09 2026 16:24:34 GMT-0400 (hora de Venezuela),Wed Sep 09 2026 16:24:34 GMT-0400 (hora de Venezuela),Levofloxacino,Linea Farmacia,TABLETAS,true,false,true,false,,E.F.G.35.920,"PROCAPS, S.A.",3.09,X 10 TABLETAS RECUBIERTAS,10
38339,ME35920/2,LEVOFLOXACINA 500 mg X 7 TABLETAS RECUBIERTAS,LEVOFLOXACINA,,14.03,,true,Wed Sep 09 2026 16:24:34 GMT-0400 (hora de Venezuela),Wed Sep 09 2026 16:24:34 GMT-0400 (hora de Venezuela),Levofloxacino,Linea Farmacia,TABLETAS,true,false,true,false,,E.F.G.35.920,"PROCAPS, S.A.",8.42,X 7 TABLETAS RECUBIERTAS,7
38340,ME38925/3,LEVOFLOXACINO 500 mg X 7 TABLETAS RECUBIERTAS,LEVOFLOXACINA,,6.60,,true,Wed Sep 09 2026 16:24:34 GMT-0400 (hora de Venezuela),Wed Sep 09 2026 16:24:34 GMT-0400 (hora de Venezuela),Levofloxacino,Linea Farmacia,TABLETAS,true,false,true,false,,E.F.G.38.925,"LABORATORIOS KIMICEG, C.A.",3.96,X 7 TABLETAS RECUBIERTAS,7
38341,ME38925/4,LEVOFLOXACINO 500 mg X 10 TABLETAS RECUBIERTAS,LEVOFLOXACINA,,16.57,,true,Wed Sep 09 2026 16:24:34 GMT-0400 (hora de Venezuela),Wed Sep 09 2026 16:24:34 GMT-0400 (hora de Venezuela),Levofloxacino,Linea Farmacia,TABLETAS,true,false,true,false,,E.F.G.38.925,"LABORATORIOS KIMICEG, C.A.",9.94,X 10 TABLETAS RECUBIERTAS,10
38342,ME38925/2,LEVOFLOXACINO 500 mg X 5 TABLETAS RECUBIERTAS,LEVOFLOXACINA,,5.00,,true,Wed Sep 09 2026 16:24:34 GMT-0400 (hora de Venezuela),Wed Sep 09 2026 16:24:34 GMT-0400 (hora de Venezuela),Levofloxacino,Linea Farmacia,TABLETAS,true,false,true,false,,E.F.G.38.925,"LABORATORIOS KIMICEG, C.A.",3,X 5 TABLETAS RECUBIERTAS,5
38343,ME38926,LEVOFLOXACINO 750 mg X 5 TABLETAS RECUBIERTAS,LEVOFLOXACINA,,8.12,,true,Wed Sep 09 2026 16:24:34 GMT-0400 (hora de Venezuela),Wed Sep 09 2026 16:24:34 GMT-0400 (hora de Venezuela),Levofloxacino,Linea Farmacia,TABLETAS,true,false,true,false,,E.F.G.38.926,"LABORATORIOS KIMICEG, C.A.",4.87,X 5 TABLETAS RECUBIERTAS,5
38344,ME43297,"LEVONORGESTREL 1,5 mg X 1 TABLETAS RECUBIERTAS",LEVONORGESTREL,,6.28,,true,Wed Sep 09 2026 16:24:34 GMT-0400 (hora de Venezuela),Wed Sep 09 2026 16:24:34 GMT-0400 (hora de Venezuela),Levonorgestrel,Linea Farmacia,TABLETAS,true,false,true,false,,E.F.G.43.297,SYNOKEM PHARMACEUTICALS LIMITED,3.77,X 1 TABLETAS RECUBIERTAS,1
38345,ME43586,LEVOPRIDE 25 MG X 30 COMPRIMIDOS,LEVOSULPIRIDA,,11.72,,true,Wed Sep 09 2026 16:24:34 GMT-0400 (hora de Venezuela),Wed Sep 09 2026 16:24:34 GMT-0400 (hora de Venezuela),Levosulpirida,Linea Farmacia,COMPRIMIDOS,true,false,true,false,,E.F.43.586,INTECH HEALTHCARE,7.03,X 30 COMPRIMIDOS,30
38346,ME42231,LEVORAT 5 mg / mL X 10 SOLUCION ORAL,LEVOCETIRIZINA,,9.17,,true,Wed Sep 09 2026 16:24:34 GMT-0400 (hora de Venezuela),Wed Sep 09 2026 16:24:34 GMT-0400 (hora de Venezuela),Levocetirizina,Linea Farmacia,SOLUCION ORAL,true,false,true,false,,E.F.42.231,"LABORATORIOS L.O. OFTALMI, C.A.",5.5,X 10 SOLUCION ORAL,10
38347,ME43890,LEVOSULPIRIDA 25 mg X 30 TABLETAS,LEVOSULPIRIDA,,9.60,,true,Wed Sep 09 2026 16:24:34 GMT-0400 (hora de Venezuela),Wed Sep 09 2026 16:24:34 GMT-0400 (hora de Venezuela),Levosulpirida,Linea Farmacia,TABLETAS,true,false,true,false,,E.F.G.43.890,"CALOX INTERNATIONAL, C.A.",5.76,X 30 TABLETAS,30
38348,ME37085,LEVOSULPIRIDE 25 mg X 30 TABLETAS,,,11.30,,true,Wed Sep 09 2026 16:24:34 GMT-0400 (hora de Venezuela),Wed Sep 09 2026 16:24:34 GMT-0400 (hora de Venezuela),,Linea Farmacia,TABLETAS,true,false,true,false,,E.F.G.37.085,"LABORATORIO LA SANTE, C.A.",6.78,X 30 TABLETAS,30
38349,ME42576/2,LEVOTIROXINA SODICA 100 mcg X 10 TABLETAS,LEVOTIROXINA SODICA,,4.58,,true,Wed Sep 09 2026 16:24:34 GMT-0400 (hora de Venezuela),Wed Sep 09 2026 16:24:34 GMT-0400 (hora de Venezuela),Levotiroxina,Linea Farmacia,TABLETAS,true,false,true,false,,E.F.G.42.576,MACLEODS PHARMACEUTICALS LTD,2.75,X 10 TABLETAS,10
38350,ME42576/3,LEVOTIROXINA SODICA 100 mcg X 50 TABLETAS,LEVOTIROXINA SODICA,,8.27,,true,Wed Sep 09 2026 16:24:34 GMT-0400 (hora de Venezuela),Wed Sep 09 2026 16:24:34 GMT-0400 (hora de Venezuela),Levotiroxina,Linea Farmacia,TABLETAS,true,false,true,false,,E.F.G.42.576,MACLEODS PHARMACEUTICALS LTD,4.96,X 50 TABLETAS,50
38351,ME43141,LEVOTIROXINA SODICA 50 mcg X 50 TABLETAS,LEVOTIROXINA SODICA,,9.63,,true,Wed Sep 09 2026 16:24:34 GMT-0400 (hora de Venezuela),Wed Sep 09 2026 16:24:34 GMT-0400 (hora de Venezuela),Levotiroxina,Linea Farmacia,TABLETAS,true,false,true,false,,E.F.G.43.141,HIRAL LABS LIMITED,5.78,X 50 TABLETAS,50
38352,ME43146,LIBERDUX 5 mg X 10 TABLETAS RECUBIERTAS,DESLORATADINA,,5.10,,true,Wed Sep 09 2026 16:24:34 GMT-0400 (hora de Venezuela),Wed Sep 09 2026 16:24:34 GMT-0400 (hora de Venezuela),Desloratadina,Linea Farmacia,TABLETAS,true,false,true,false,,E.F.43.146,LABORATORIOS SIEGFRIED S.A.,3.06,X 10 TABLETAS RECUBIERTAS,10
38353,HO32824,LIDOCAINA - EPINEFRINA 2 % - 1:50.000 SOLUCION INYECTABLE,,,20.35,,true,Wed Sep 09 2026 16:24:34 GMT-0400 (hora de Venezuela),Wed Sep 09 2026 16:24:34 GMT-0400 (hora de Venezuela),,Linea Hospitalaria,INYECTABLE,true,false,true,false,,E.F.G.32.824,EMPRESA LABORATORIOS AICA,12.21,,
38354,HO43916,Lidocaina 2% con Adrenalina 1: 80.000 Solución Inyectable,ADRENALINA - CLORHIDRATO DE LIDOCAINA,,79.65,,true,Wed Sep 09 2026 16:24:34 GMT-0400 (hora de Venezuela),Wed Sep 09 2026 16:24:34 GMT-0400 (hora de Venezuela),Adrenalina - Lidocaina,Linea Hospitalaria,INYECTABLE,true,false,true,false,,E.F.G.43.916,"JIANGXI SYNERGY PHARMACEUTICAL CO., LTD",47.79,,
38355,HO40559,LINEZID 2 mg/ ml SOLUCION INYECTABLE PARA INFUSION IV,,,30.95,,true,Wed Sep 09 2026 16:24:34 GMT-0400 (hora de Venezuela),Wed Sep 09 2026 16:24:34 GMT-0400 (hora de Venezuela),,Linea Hospitalaria,INYECTABLE,true,false,true,false,,E.F.40.559,"LABORATORIO BEHRENS, C.A.",18.57,,
38356,MI318,LIOLACTIL X 20 SOBRES,,,18.92,,true,Wed Sep 09 2026 16:24:34 GMT-0400 (hora de Venezuela),Wed Sep 09 2026 16:24:34 GMT-0400 (hora de Venezuela),,Linea Farmacia,,true,false,true,false,,P.B.318,"LABORATORIOS ELMOR, S.A.",11.35,X 20 SOBRES,20
38357,ME1264,"LIOLACTIL (Lactobacilos rhamnosus) 1,5g X 6 POLVO PARA SUSPENSION ORAL SOBRES",,,23.63,,true,Wed Sep 09 2026 16:24:34 GMT-0400 (hora de Venezuela),Wed Sep 09 2026 16:24:34 GMT-0400 (hora de Venezuela),,Linea Farmacia,POLVO PARA RECONSTITUCION,true,false,true,false,,P.B.1.264,"LABORATORIOS ELMOR, S.A.",14.18,X 6 POLVO PARA SUSPENSION ORAL SOBRES,6
38358,ME39972,LIPACOMB 40 mg - 10 mg X 30 TABLETAS,,,20.35,,true,Wed Sep 09 2026 16:24:34 GMT-0400 (hora de Venezuela),Wed Sep 09 2026 16:24:34 GMT-0400 (hora de Venezuela),,Linea Farmacia,TABLETAS,true,false,true,false,,E.F.39.972,LABORATORIOS FARMA S.A.,12.21,X 30 TABLETAS,30
38359,ME44241,LIPEND 10 mg X 30 COMPRIMIDOS RECUBIERTOS,CLORHIDRATO DE LERCANIDIPINO,,32.60,,true,Wed Sep 09 2026 16:24:34 GMT-0400 (hora de Venezuela),Wed Sep 09 2026 16:24:34 GMT-0400 (hora de Venezuela),Lercanidipino,Linea Farmacia,COMPRIMIDOS,true,false,true,false,,E.F.44.241,INTECH HEALTHCARE,19.56,X 30 COMPRIMIDOS RECUBIERTOS,30
38360,ME44242,LIPEND 20 mg X 30 COMPRIMIDOS RECUBIERTOS,CLORHIDRATO DE LERCANIDIPINO,,32.82,,true,Wed Sep 09 2026 16:24:34 GMT-0400 (hora de Venezuela),Wed Sep 09 2026 16:24:34 GMT-0400 (hora de Venezuela),Lercanidipino,Linea Farmacia,COMPRIMIDOS,true,false,true,false,,E.F.44.242,INTECH HEALTHCARE,19.69,X 30 COMPRIMIDOS RECUBIERTOS,30
38361,ME28540,LIPONTAL 900 mg X 10 TABLETAS,GEMFIBROZILO,,15.20,,true,Wed Sep 09 2026 16:24:34 GMT-0400 (hora de Venezuela),Wed Sep 09 2026 16:24:34 GMT-0400 (hora de Venezuela),Gemfibrozilo,Linea Farmacia,TABLETAS,true,false,true,false,,E.F.28.540,LABORATORIOS SIEGFRIED S.A.,9.12,X 10 TABLETAS,10
38362,ME26675,LISILET 10 mg X 30 COMPRIMIDOS,LISINOPRIL,,62.27,,true,Wed Sep 09 2026 16:24:34 GMT-0400 (hora de Venezuela),Wed Sep 09 2026 16:24:34 GMT-0400 (hora de Venezuela),Lisinopril,Linea Farmacia,COMPRIMIDOS,true,false,true,false,,E.F.26.675,"LABORATORIOS LETI, S.A.V.",37.36,X 30 COMPRIMIDOS,30
38363,ME29414,"LISILETIC 20 mg -12,5 mg X 30 COMPRIMIDOS",LISINOPRIL - HIDROCLOROTIAZIDA,,98.42,,true,Wed Sep 09 2026 16:24:34 GMT-0400 (hora de Venezuela),Wed Sep 09 2026 16:24:34 GMT-0400 (hora de Venezuela),Hidroclorotiazida - Lisinopril,Linea Farmacia,COMPRIMIDOS,true,false,true,false,,E.F.29.414,"LABORATORIOS LETI, S.A.V.",59.05,X 30 COMPRIMIDOS,30
