producto_id,sku,nombre_comercial,foto_url,fuente,fecha
39433,ME24736,ATAMEL 120 MG / 5 ML JARABE,https://mav.farmaciasaas.com/api/images/articulos/DISTRIBUCION/50583.jpg,cobeca,
37515,ME39468/2,ATORVACOF 20 MG X 14 TABLETAS RECUBIERTAS,https://mav.farmaciasaas.com/api/images/articulos/DISTRIBUCION/98600.jpg,cobeca,
37526,ME30954,ATRIMON 10 MG X 10 COMPRIMIDOS,https://mav.farmaciasaas.com/api/images/articulos/DISTRIBUCION/527.jpg,cobeca,
37527,ME40958,ATROBEL 10 MG / ML SOLUCION GOTAS REFORMULADO,https://mav.farmaciasaas.com/api/images/articulos/DISTRIBUCION/22695.jpg,cobeca,
37528,HO35376,ATROPINA SULFATO 1 MG / ML X 10 AMPOLLAS,https://mav.farmaciasaas.com/api/images/articulos/DISTRIBUCION/50775.jpg,cobeca,
37529,ME36259,ATROVERAN 10 MG / ML X 10 SOLUCION GOTAS,https://mav.farmaciasaas.com/api/images/articulos/DISTRIBUCION/25310.jpg,cobeca,
39088,ME36258,ATROVERAN 10 MG X 10 TABLETAS RECUBIERTAS,https://mav.farmaciasaas.com/api/images/articulos/DISTRIBUCION/25527.jpg,cobeca,
37530,ME44345,ATROVERAN FEM 10 MG-200 MG X 10 COMPRIMIDOS RECUBIERTOS,https://mav.farmaciasaas.com/api/images/articulos/DISTRIBUCION/54524.jpg,cobeca,
37531,ME25538,AUGMENTIN 500 MG - 125 MG TABLETAS RECUBIERTAS,https://mav.farmaciasaas.com/api/images/articulos/DISTRIBUCION/9781.jpg,cobeca,
37533,ME42005,AUPREL 90 MG X 20 COMPRIMIDOS RECUBIERTOS,https://mav.farmaciasaas.com/api/images/articulos/DISTRIBUCION/28697.jpg,cobeca,
37534,ME30878,AVELOX 400 MG X 5 COMPRIMIDOS RECUBIERTOS,https://mav.farmaciasaas.com/api/images/articulos/DISTRIBUCION/11301.jpg,cobeca,
37535,ME34732,AVODART 0.5 MG CAPSULAS BLANDAS,https://mav.farmaciasaas.com/api/images/articulos/DISTRIBUCION/10278.jpg,cobeca,
37536,ME33902,AXOKINE 400 MG X 5 COMPRIMIDOS RECUBIERTOS,https://mav.farmaciasaas.com/api/images/articulos/DISTRIBUCION/90556.jpg,cobeca,
37537,ME33685/2,AZACARD 81 MG X 30 TABLETAS CON CUBIERTA ENTERICA,https://mav.farmaciasaas.com/api/images/articulos/DISTRIBUCION/4756.jpg,cobeca,
37538,ME33685/3,AZACARD 81 MG X 60 TABLETAS CON CUBIERTA ENTERICA,https://mav.farmaciasaas.com/api/images/articulos/DISTRIBUCION/4694.jpg,cobeca,
37539,ME33685/4,AZACARD 81 MG X 100 TABLETAS CON CUBIERTA ENTERICA,https://mav.farmaciasaas.com/api/images/articulos/DISTRIBUCION/53427.jpg,cobeca,
37540,ME36378/2,AZIMAKROL 1 G X 2 COMPRIMIDOS RECUBIERTOS,https://mav.farmaciasaas.com/api/images/articulos/DISTRIBUCION/91098.jpg,cobeca,
37541,ME36378/3,AZIMAKROL 1 G X 5 COMPRIMIDOS RECUBIERTOS,https://mav.farmaciasaas.com/api/images/articulos/DISTRIBUCION/54042.jpg,cobeca,
37542,ME36516/2,AZITRODEX 500 MG X 3 TABLETAS RECUBIERTAS,https://mav.farmaciasaas.com/api/images/articulos/DISTRIBUCION/92796.jpg,cobeca,
37543,ME36516/3,AZITRODEX 500 MG X 5 TABLETAS RECUBIERTAS,https://mav.farmaciasaas.com/api/images/articulos/DISTRIBUCION/94416.jpg,cobeca,
37551,ME14109,BACTEVAL 250 MG - 50 MG X 24 CAPSULAS,https://mav.farmaciasaas.com/api/images/articulos/DISTRIBUCION/8557.jpg,cobeca,
37552,ME35252,BACTRON FORTE 160 MG - 800 MG X 10 TABLETAS,https://mav.farmaciasaas.com/api/images/articulos/DISTRIBUCION/9770.jpg,cobeca,
37553,HO30851,BACTRIZOL 5 MG / ML SOLUCION INYECTABLE PARA INFUSION INTRAVENOSA,https://mav.farmaciasaas.com/api/images/articulos/DISTRIBUCION/7496.jpg,cobeca,
37554,ME18573,BACTRON 80 MG - 400 MG X 20 TABLETAS,https://mav.farmaciasaas.com/api/images/articulos/DISTRIBUCION/345.jpg,cobeca,
37555,ME27531,BARGONIL 2 % UNGUENTO,https://mav.farmaciasaas.com/api/images/articulos/DISTRIBUCION/9756.jpg,cobeca,
37556,HO29957,BEHKACIN 500 MG / 2 ML X 1 AMPOLLA,https://mav.farmaciasaas.com/api/images/articulos/DISTRIBUCION/52498.jpg,cobeca,
37558,ME22165,BENDAMEN 100 MG / 5 ML SUSPENSION,https://mav.farmaciasaas.com/api/images/articulos/DISTRIBUCION/4846.jpg,cobeca,
37559,ME21687,BENDAMEN 100 MG X 6 TABLETAS,https://mav.farmaciasaas.com/api/images/articulos/DISTRIBUCION/4845.jpg,cobeca,
37560,ME25332,BENFLUX 30 MG X 20 TABLETAS,https://mav.farmaciasaas.com/api/images/articulos/DISTRIBUCION/7033.jpg,cobeca,
37561,ME39719,BENZODIAZOL 0.25 MG - 5 MG X 16 PASTILLAS SABOR A LIMON - MIEL,https://mav.farmaciasaas.com/api/images/articulos/DISTRIBUCION/97346.jpg,cobeca,
