producto_id,sku,nombre_comercial,nucleo,foto_url,fuente,detalle
37541,ME36378/3,AZIMAKROL 1 G X 5 COMPRIMIDOS RECUBIERTOS,AZIMAKROL,https://mav.farmaciasaas.com/api/images/articulos/DISTRIBUCION/54042.jpg,cobeca,AZIMAKROL COMP REC 500 X5 MEG
37542,ME36516/2,AZITRODEX 500 MG X 3 TABLETAS RECUBIERTAS,AZITRODEX,https://mav.farmaciasaas.com/api/images/articulos/DISTRIBUCION/92796.jpg,cobeca,AZITRODEX TAB REC 500MG X3 PLX
37543,ME36516/3,AZITRODEX 500 MG X 5 TABLETAS RECUBIERTAS,AZITRODEX,https://mav.farmaciasaas.com/api/images/articulos/DISTRIBUCION/94416.jpg,cobeca,AZITRODEX TAB REC 500MG X5 PLX
37551,ME14109,BACTEVAL 250 MG - 50 MG X 24 CAPSULAS,BACTEVAL,https://mav.farmaciasaas.com/api/images/articulos/DISTRIBUCION/8557.jpg,cobeca,BACTEVAL CAP 50MG/250MG X24 VLM
37552,ME35252,BACTRON FORTE 160 MG - 800 MG X 10 TABLETAS,BACTRON FORTE,https://mav.farmaciasaas.com/api/images/articulos/DISTRIBUCION/9770.jpg,cobeca,BACTRON FORTE TAB 160/800MG X10 RNV
37553,HO30851,BACTRIZOL 5 MG / ML SOLUCION INYECTABLE PARA INFUSION INTRAVENOSA,BACTRIZOL,https://mav.farmaciasaas.com/api/images/articulos/DISTRIBUCION/7496.jpg,cobeca,BACTRIZOL SOL INY 5MG/ML 100ML BHR
37554,ME18573,BACTRON 80 MG - 400 MG X 20 TABLETAS,BACTRON,https://mav.farmaciasaas.com/api/images/articulos/DISTRIBUCION/345.jpg,cobeca,BACTRON TAB 80MG X20 RNV
37555,ME27531,BARGONIL 2 % UNGUENTO,BARGONIL,https://mav.farmaciasaas.com/api/images/articulos/DISTRIBUCION/9756.jpg,cobeca,BARGONIL UNG RECTAL 10G MEG
37556,HO29957,BEHKACIN 500 MG / 2 ML X 1 AMPOLLA,BEHKACIN,https://mav.farmaciasaas.com/api/images/articulos/DISTRIBUCION/52498.jpg,cobeca,BEHKACIN SOL INY 500MG/2ML X1 BHR.
37558,ME22165,BENDAMEN 100 MG / 5 ML SUSPENSION,BENDAMEN,https://mav.farmaciasaas.com/api/images/articulos/DISTRIBUCION/4846.jpg,cobeca,BENDAMEN SUSP 100MG/5ML 30ML MEY
37559,ME21687,BENDAMEN 100 MG X 6 TABLETAS,BENDAMEN,https://mav.farmaciasaas.com/api/images/articulos/DISTRIBUCION/4845.jpg,cobeca,BENDAMEN TAB 100MG X6 MEY
37560,ME25332,BENFLUX 30 MG X 20 TABLETAS,BENFLUX,https://mav.farmaciasaas.com/api/images/articulos/DISTRIBUCION/7033.jpg,cobeca,BENFLUX TAB X20 PLN
