producto_id,sku,nombre_comercial,nucleo,molecula,forma,laboratorio,motivo
37447,ME25639,AMOXICILINA 250 MG / 5 ML POLVO PARA SUSPENSION,AMOXICILINA,Amoxicilina,POLVO PARA RECONSTITUCION,SYNTOFARMA S.A.,sin_desc_lab
37451,ME37262,AMOXIVAL 750 ML / 5 ML POLVO PARA SUSPENSION ORAL,AMOXIVAL,Amoxicilina,POLVO PARA RECONSTITUCION,"LABORATORIOS VALMOR, C.A.",sin_match_cobeca
37452,ME22089,AMOXIVAL 250 MG / 5 ML POLVO PARA SUSPENSION ORAL,AMOXIVAL,Amoxicilina,POLVO PARA RECONSTITUCION,"LABORATORIOS VALMOR, C.A.",sin_match_cobeca
37454,ME24809,AMPICILINA 250 MG / 5 ML POLVO PARA SUSPENSION ORAL,AMPICILINA,Ampicilina,POLVO PARA RECONSTITUCION,"SM PHARMA, C.A.",sin_desc_lab
37463,ME42609,ANASTROZOL 1 MG X 30 TABLETAS RECUBIERTAS,ANASTROZOL,Anastrozol,TABLETAS,SALUTAS PHARMA GMBH.,sin_desc_lab
37464,ME31329/3,ANGRIP X 8 COMPRIMIDOS,ANGRIP X,,COMPRIMIDOS,MEGALABS S.A.,sin_match_cobeca
37465,ME31329/2,ANGRIP X 4 COMPRIMIDOS,ANGRIP X,,COMPRIMIDOS,MEGALABS S.A.,sin_match_cobeca
37466,ME31329/4,ANGRIP X 15 COMPRIMIDOS,ANGRIP X,,COMPRIMIDOS,MEGALABS S.A.,sin_match_cobeca
37474,ME40266,ANTILAX PLUS 2 MG - 125 MG X 10 CAPSULAS,ANTILAX PLUS,,CAPSULAS,LABORATORIOS FARMA S.A.,sin_match_cobeca
37479,ME42943,APIRETFLU DIA X 6 GRANULADO,APIRETFLU DIA X,Acetaminofen - Cafeina,GRANULADOS,"LABORATORIOS L.O. OFTALMI, C.A.",sin_match_cobeca
37480,ME44489,APITENA 2.5 MG X 30 COMPRIMIDOS RECUBIERTOS,APITENA,Apixaban,COMPRIMIDOS,FARMACEUTICA PARAGUAYA S.A.,sin_desc_lab
37481,ME43847,APIBLOTAN 5 MG X 60 TABLETAS RECUBIERTAS,APIBLOTAN,Apixaban,TABLETAS,SYNOKEM PHARMACEUTICALS LIMITED,sin_desc_lab
37485,ME37211/2,ARANDA 2.5 MG - 50 MG X 10 CAPSULAS,ARANDA,Losartan,CAPSULAS,ACHE LABORATORIOS FARMACEUTICOS S.A.,sin_desc_lab
37486,ME37211/3,ARANDA 2.5 MG - 50 MG X 30 CAPSULAS,ARANDA,Losartan,CAPSULAS,ACHE LABORATORIOS FARMACEUTICOS S.A.,sin_desc_lab
37487,ME37212,ARANDA 5 MG - 100 MG X 10 CAPSULAS,ARANDA,Losartan,CAPSULAS,ACHE LABORATORIOS FARMACEUTICOS S.A.,sin_desc_lab
37510,ME43445,ATAPEC 100 MG X 30 TABLETAS RECUBIERTAS,ATAPEC,,TABLETAS,TITAN LABORATORIES PVT. LTD.,sin_desc_lab
37512,ME25816,ATENOLOL 100 MG X 30 TABLETAS,ATENOLOL,Atenolol,TABLETAS,"CALOX INTERNATIONAL, C.A.",sin_match_cobeca
37513,ME25817,ATENOLOL 50 MG X 30 TABLETAS,ATENOLOL,Atenolol,TABLETAS,"CALOX INTERNATIONAL, C.A.",sin_match_cobeca
37516,ME39468/3,ATORVACOF 20 MG X 30 TABLETAS RECUBIERTAS,ATORVACOF,Atorvastatina,TABLETAS,"LABORATORIO COFASA, S.A.",sin_match_cobeca
37518,ME32690/3,ATORVASTATINA 20 MG X 14 COMPRIMIDOS RECUBIERTOS,ATORVASTATINA,Atorvastatina,COMPRIMIDOS,"LABORATORIOS LETI, S.A.V.",sin_match_cobeca
37522,ME37775,ATORVASTATINA 20 MG X 30 TABLETAS RECUBIERTAS,ATORVASTATINA,,TABLETAS,EMPRESA LABORATORIOS MEDSOL,sin_desc_lab
37524,ME35340/2,ATORVASTATINA 40 MG X 14 TABLETAS RECUBIERTAS,ATORVASTATINA,Atorvastatina,TABLETAS,LABORATORIOS FARMA S.A.,sin_match_cobeca
37532,ME29902,AUGMENTIN BID 875 MG - 125 MG TABLETAS RECUBIERTAS,AUGMENTIN BID,Amoxicilina - Clavulanico Acido,TABLETAS,SMITHKLINE BEECHAM LIMITED,sin_desc_lab
37544,ME31564/3,AZITROMICINA 500 MG X 5 COMPRIMIDOS RECUBIERTOS,AZITROMICINA,Azitromicina,COMPRIMIDOS,"LABORATORIOS SPEFAR VENEZOLANOS, S.A.",sin_desc_lab
37545,ME31564/2,AZITROMICINA 500 MG X 3 COMPRIMIDOS RECUBIERTOS,AZITROMICINA,Azitromicina,COMPRIMIDOS,"LABORATORIOS SPEFAR VENEZOLANOS, S.A.",sin_desc_lab
37546,ME42509,AZITROMICINA 200 MG / 5 ML SUSPENSION ORAL,AZITROMICINA,Azitromicina,SUSPENSION ORAL,COOPER PHARMA LTD,sin_desc_lab
37547,ME42465,AZITROMICINA 500 MG X 5 TABLETAS RECUBIERTAS,AZITROMICINA,,TABLETAS,COOPER PHARMA LTD,sin_desc_lab
37549,ME1645,BACITRACINA 125 MG / 15 G UNGUENTO,BACITRACINA,Bacitracina,UNGUENTO,"PFIZER VENEZUELA, S.A.",sin_desc_lab
37550,ME20140,BACITRACINA 500 UI - G UNGUENTO,BACITRACINA,Bacitracina,UNGUENTO,C.A. PRODUCTOS RONAVA,sin_match_cobeca
37557,ME29570,BENCIDAMINA CLORHIDRATO 0.15 % SOLUCION TOPICA BUCAL,BENCIDAMINA CLORHIDRATO,,SOLUCION TOPICA,"LABORATORIO COFASA, S.A.",sin_match_cobeca
37563,ME33045/2,BENZODIAZOL 0.25 MG - 5 MG X 4 PASTILLAS SABOR A TUTTI FRUTTI,BENZODIAZOL,,PASTILLA,LABORATORIOS SIEGFRIED S.A.,sin_match_cobeca
37566,ME26475,BETADINE 8 % SOLUCION TOPICO BUCAL,BETADINE,,SOLUCION TOPICA,LABORATORIOS FARMA S.A.,sin_match_cobeca
37567,ME37878,BETADUO 6.430 MG - 2.631 MG / ML X 1 AMPOLLA,BETADUO,,INYECTABLE,"PHARMAYECT, S.A.",sin_desc_lab
37570,ME16115,BETAGEN SOLSPEN X 1 AMPOLLA,BETAGEN SOLSPEN X,,INYECTABLE,"BIOTECH LABORATORIOS, C.A.",sin_match_cobeca
37573,HO36271/2,BETAMETASONA 4 MG / ML X 1 AMPOLLA,BETAMETASONA,Betametasona,INYECTABLE,"PHARMAYECT, S.A.",sin_desc_lab
37574,HO36271/3,BETAMETASONA 4 MG / ML X 10 AMPOLLAS,BETAMETASONA,Betametasona,INYECTABLE,"PHARMAYECT, S.A.",sin_desc_lab
37575,ME22866,BEXILON 4 MG / 5 ML JARABE,BEXILON,,JARABE,"LABORATORIO PLUSANDEX DE FARMACEUTICOS UNIDOS, PLUSANDEX, C.A.",sin_match_cobeca
37576,ME42551,BILOL 2.5 MG X 10 TABLETAS RECUBIERTAS,BILOL,,TABLETAS,SWISS PARENTERALS LTD,sin_desc_lab
37587,ME43626,BISACODILO 5 MG X 10 TABLETAS GASTRORRESISTENTES,BISACODILO,Bisacodilo,TABLETAS,SG HEALTHCARE PVT. LTD.,sin_desc_lab
37589,ME38626,BISOPROLOL FUMARATO 5 MG X 30 TABLETAS RECUBIERTAS,BISOPROLOL FUMARATO,,TABLETAS,"CALOX INTERNATIONAL, C.A.",sin_match_cobeca
37592,ME42421,BISOPROLOL FUMARATO 10 MG X 30 COMPRIMIDOS RECUBIERTOS,BISOPROLOL FUMARATO,Bisoprolol,COMPRIMIDOS,"LABORATORIOS SPEFAR VENEZOLANOS, S.A.",sin_desc_lab
37594,ME44328,BISOPROLOL FUMARATO 5 MG X 30 TABLETAS RECUBIERTAS,BISOPROLOL FUMARATO,Bisoprolol,TABLETAS,RONALD PHARMACEUTICALS PVT. LTD.,sin_desc_lab
37595,ME43390,BISOPROLOL FUMARATO 1.25 MG X 15 TABLETAS RECUBIERTAS,BISOPROLOL FUMARATO,,TABLETAS,SYNOKEM PHARMACEUTICALS LIMITED,sin_desc_lab
37609,ME39097,BROFLEMA 8 MG / 5 ML SOLUCION ORAL,BROFLEMA,,SOLUCION ORAL,"BIOTECH LABORATORIOS, C.A.",sin_match_cobeca
37614,ME26069,CLORHIDRATO DE BROMEXINA 8 MG / 5 ML JARABE.,CLORHIDRATO DE BROMEXINA,Bromhexina,JARABE,"LABORATORIOS SPEFAR VENEZOLANOS, S.A.",sin_desc_lab
37615,ME40260,BROMEXINA CLORHIDRATO 4 MG / 5 ML JARABE,BROMEXINA CLORHIDRATO,,JARABE,"SM PHARMA, C.A.",sin_desc_lab
37616,ME35158,BROMHEXINA CLORHIDRATO 8 MG / 5 ML JARABE,BROMHEXINA CLORHIDRATO,,JARABE,"LABORATORIOS SPEFAR VENEZOLANOS, S.A.",sin_desc_lab
37617,ME36318,BROMHEXINA CLORHIDRATO 8 MG / 5 ML JARABE,BROMHEXINA CLORHIDRATO,,JARABE,LABORATORIO BIOGALENIC C.A.,sin_desc_lab
37624,ME29895,BRUGESIC PLUS 600 MG X 10 POLVO PARA SOLUCION ORAL,BRUGESIC PLUS,Ibuprofeno,POLVO PARA RECONSTITUCION,"LABORATORIOS ELMOR, S.A.",sin_match_cobeca
37638,ME42932/4,VITAMINA C - ZINC 500 MG - 15 MG X 60 TABLETAS MASTICABLES SABOR A MANDARINA,VITAMINA C - ZINC,Ascorbico Acido - Zinc,TABLETAS,BIONUTREC S.A.S.,sin_desc_lab
37639,ME42932/3,VITAMINA C - ZINC 500 MG - 15 MG X 30 TABLETAS MASTICABLES SABOR A MANDARINA,VITAMINA C - ZINC,Ascorbico Acido - Zinc,TABLETAS,BIONUTREC S.A.S.,sin_desc_lab
37640,ME42932/2,VITAMINA C - ZINC 500 MG - 15 MG X 10 TABLETAS MASTICABLES SABOR A MANDARINA,VITAMINA C - ZINC,Ascorbico Acido - Zinc,TABLETAS,BIONUTREC S.A.S.,sin_desc_lab
37648,ME25320,CAMPAL 50 MG X 20 TABLETAS ENTERICAS,CAMPAL,,TABLETAS,LABORATORIOS SIEGFRIED S.A.,sin_match_cobeca
37650,ME40363/2,CANDER HCT 16 MG - 12.5 MG X 10 TABLETAS,CANDER HCT,,TABLETAS,"LABORATORIOS VALMOR, C.A.",sin_match_cobeca
37655,ME43341,CANDESARTAN CILETEXILO – HIDROCLOROTIAZIDA 8 MG – 12.5 MG TABLETAS RECUBIERTAS,CANDESARTAN CILETEXILO – HIDROCLOROTIAZIDA,,TABLETAS,MASCOT HEALTH SERIES PVT. LTD.,sin_desc_lab
37663,ME37841,CANDESARTAN 8 MG X 30 TABLETAS,CANDESARTAN,,TABLETAS,"LABORATORIO LA SANTE, C.A.",sin_match_cobeca
37665,ME40335,CANFIR 500 MG X 30 COMPRIMIDOS RECUBIERTOS DE LIBERACION PROLONGADA,CANFIR,,COMPRIMIDOS,"LABORATORIOS LETI, S.A.V.",sin_match_cobeca
37668,MI1290,OXIGENO MEDICINAL,OXIGENO MEDICINAL,,,"AGA GAS, C.A.",sin_desc_lab
37670,ME25978/2,CAPTOPRIL 25 MG X 20 COMPRIMIDOS,CAPTOPRIL,Captopril,COMPRIMIDOS,"LABORATORIOS LETI, S.A.V.",sin_match_cobeca
