producto_id,nombre,sku,fuente,enlazada,ref_id,atc_id
39274,KLINCOSAL 262 MG - 500 MG / 15 ML SUSPENSION ORAL SABOR A FRESA,ME42263,SUBCARBONATO DE BISMUTO - CARBONATO DE CALCIO,Metronidazol,2320,2719
39275,KLINCOSAL 262 MG - 500 MG / 15 ML SUSPENSION ORAL SABOR A UVA,ME42264,SUBCARBONATO DE BISMUTO - CARBONATO DE CALCIO,Metronidazol,2320,2719
39305,MIGRADORIXINA 125 MG - 1 MG COMPRIMIDOS RECUBIERTOS,ME33482,CLONIXINATO DE LISINA - TARTRATO DE ERGOTAMINA,Clonixino Lisina,831,1222
39340,PERTEN 1 % CREMA,ME37330,TERBINAFINA,Clotrimazol,878,2720
39343,PROTOSULFIL 1 % POLVO,MI25491,SULFADIAZINA DE PLATA,Sulfadiazina Argentica,3246,2349
39352,REHIDROSOL 45 MEQ / L SOLUCION ELECTROLITICA USO ORAL SABOR A FRAMBUESA,ME42185,CITRATO DE POTASIO MONOHIDRATO - CITRATO DE SODIO DIHIDRATO - CLORURO DE SODIO,Sales de Rehidratación Oral,4293,476
39354,REHIDROSOL 60 MEQ / L SOLUCION ELECTROLITICA USO ORAL SABOR A MANZANA,ME42186,CLORURO DE POTASIO - CITRATO DE SODIO DIHIDRATO - CLORURO DE SODIO,Sales de Rehidratación Oral,4293,476
39418,ACRYLARM 0.2 % GEL OFTALMICO,ME32679,ACIDO POLIACRILICO,Hialuronico Acido,1733,
39449,HIOSCINA N-BUTILBROMURO 10 MG X 10 TABLETAS RECUBIERTAS,ME43037,N-BUTILBROMURO DE HIOSCINA,Butilescopolamina Bromuro,553,237
39461,SOLUCION PARA DIALISIS PERITONEAL CON DEXTROSA AL 1.5 % BAJA EN MAGNESIO,ME34036,CLORURO DE SODIO - CLORURO DE MAGNESIO,Citrato Magnesio,788,
39469,DUNIXI 10 MG X 30 COMPRIMIDOS RECUBIERTOS,ME44385,DAPAGLIFOZINA,Dapagliflozina,964,665
39489,DOLAK 30 MG X 4 COMPRIMIDOS SUBLINGUALES,ME38932/4,KETOROLAC TROMETAMINA,Ketorolaco Trometamol,1957,1161
39490,DOLAK 30 MG X 1 COMPRIMIDO SUBLINGUAL,ME38932/2,KETOROLAC TROMETAMINA,Ketorolaco Trometamol,1957,1161
39491,DOLAK 30 MG X 2 COMPRIMIDOS SUBLINGUALES,ME38932/3,KETOROLAC TROMETAMINA,Ketorolaco Trometamol,1957,1161
39507,DOLOGINEX 125 MG - 10 MG X 10 COMPRIMIDOS RECUBIERTOS,ME31488,CLONIXINATO DE LISINA - PROPINOX,Clonixino Lisina,831,1222
39518,GLIDEX 500 MG X 30 TABLETAS RECUBIERTAS,ME43923,CLORHIDRATO DE METFORMINA CD 95% - METFORMINA CLORHIDRATO,(+)-tetrabenazina,3360,5286
39519,GLIDEX 850 MG X 30 TABLETAS RECUBIERTAS,ME43924,CLORHIDRATO DE METFORMINA CD 95% - METFORMINA CLORHIDRATO,(+)-tetrabenazina,3360,5286
39524,BIOCORTIN 500 MG X 1 AMPOLLA,HO44584,SUCCINATO SODICO DE HIDROCORTISONA,Bisoprolol,3830,1815
39550,NEMAX 16 % - 6 % SOLUCION RECTAL,ME43190,FOSFATO DE SODIO DIBASICO,Fosfato Disodio,1531,
39550,NEMAX 16 % - 6 % SOLUCION RECTAL,ME43190,FOSFATO DE SODIO DIBASICO,Fosfato Monosodio Dihidrato,1535,
39551,FOSFATO DE SODIO MONOBASICO 16 % - FOSFATO DE SODIO DIBASICO 6 %,MI44357,FOSFATO DE SODIO DIBASICO ANHIDRO - FOSFATO DE SODIO MONOBASICO ANHIDRO,Fosfato Monosodio Dihidrato,1535,
39564,DUSTALOX 0.5 % SOLUCION OFTALMICA,ME41980,KETOROLAC TROMETAMINA,Ketorolaco Trometamol,1957,1161
39577,SILVEDERMA 1 % CREMA,ME30785,SULFADIAZINA DE PLATA,Sulfadiazina Argentica,3246,2349
