id,nombre,sinonimos,atc_id,descripcion
930,Crataegus Oxyacantha Exto Seco,,,
932,Crecimiento Hormona,,,
933,Crisantaspasa,,,
935,Cromato Cr-51  Sodio,,,
936,Cromo Cloruro Hexahidrato,,,
940,Curcuma,,,
941,Curcuma Exto Seco,,,
942,Cynara Scolymus L.,,,
943,Cynara Scolymus L. Extracto Seco,,,
944,Cynodon Dactylon,,,
988,D-b-b-dimetilcisteina,,,
990,D-camfor,,,
4025,D-norgestrel,,,
1163,D-pantenol,,,
958,Damoctocog Alfa Pegol,,,
987,Davesomeran,,,
992,Decicaina,,,
3859,Dehidrobenzoperidol,,,
1003,Dehidroepiandrosterona,,,
1009,Delta 9 Tetrahidrocannabinol,,,
4016,Dengue Virus,,,
1014,"Dengue Virus, Vivo Atenuado Serotipo 1",,,
1015,"Dengue Virus, Vivo Atenuado Serotipo 2",,,
1016,"Dengue Virus, Vivo Atenuado Serotipo 3",,,
1017,"Dengue Virus, Vivo Atenuado Serotipo 4",,,
1020,Dequalinio,,,
4019,Dexnorgestrel,,,
1052,Dextroamfetamina,,,
1055,Dextrosa,,,
1056,Dha,,,
1060,Diacetoxi-difenil-piridilmetano,,,
1061,Diafenilsulfona,,,
1064,Dibencocida,,,
1065,Dibencozamida,,,
1066,Dibenzotiazil Disulfida,,,
1067,Dibotermina Alfa,,,
1069,Dibucaina,,,
1070,Diciclomina,,,
1078,Dicloro-oxiquinaldina,,,
4021,Diente De Leon,,,
1080,Difasin,,,
1085,Difenilguanidina,,,
1087,Difenilmetoxi-8-isopropilnortropano,,,
1088,Difenilmetoxi-8-isopropilnortropano Mesilato,,,
1089,Difilina,,,
1106,Dihidrohidroxicodeinona,,,
1110,Dihidroxisuccinico Acido,,,
4024,Diosmetin 7 Rutinosido,,,
1122,Dipentametilenetiuramio Disulfuro,,,
1124,Dipirona,,,
1130,Dobesilico Acido,,,
1136,Dodecilsulfato,,,
4027,Dpt,,,
1167,Drosera,,,
1168,Drosera Rotundifolia,,,
1169,Drosera Tintura,,,
1170,Drosera Tintura Madre,,,
3947,Dtic,,,
1181,Eburnamonina,,,
1182,Echinacea Angustifolia,,,
1183,Echinacea Angustifolia Exto Seco,,,
1184,Echinacea Angustifolia Tintura Madre,,,
1191,Edotreotida,,,
1195,Edtaciclina,,,
1196,Efanesoctocog Alfa,,,
1203,Efmoroctocog Alfa,,,
1209,Elasomeran,,,
3948,Eleutherococcus Senticosus,,,
1240,Enzima De Streptococcus Pyogenes (hmed-ides) Recombinante Que Degrada Igg,,,
1252,Epoetina Dseta (epoetin Zeta),,,
1253,Epoetina Zeta (epoetin Theta),,,
1256,Eptacog Alfa Activado,,,
1257,Eptacog Beta Activado,,,
4076,Equiseto Menor,,,
1260,Equisetum Arvense,,,
1261,Equisetum Arvense Exto Seco,,,
3864,Erbio Er-169,,,
1263,Erbio Er-169 Citrato,,,
1280,Eschscholtzia Californica Cham.,,,
1286,Esencia  Pimpinella Anisum,,,
1287,Esencia Almendras Amargas,,,
1288,Esencia Bergamota,,,
1289,Esencia Canela,,,
1290,Esencia Cedro,,,
1291,Esencia Clavo,,,
1292,Esencia De Azahar,,,
1293,Esencia De Oregano,,,
1294,Esencia Eucalipto,,,
1295,Esencia Hierba Luisa,,,
1296,Esencia Limon,,,
1297,Esencia Melaleuca Viridiflora,,,
1298,Esencia Melissa Oficinalis,,,
1299,Esencia Naranja,,,
1300,Esencia Niauli,,,
1301,Esencia Pino,,,
1302,Esencia Rosmarinus Officinalis,,,
1303,Esencia Tomillo,,,
1304,Esencia Trementina,,,
1305,Esencia Vainillla,,,
1315,Espaglumico Acido,,,
1319,Espirolactona,,,
4078,Espliego,,,
1322,Estaño Cloruro Dihidrato,,,
1323,Esteatita,,,
1326,Estigmas De Maiz,,,
3952,Estroncio Cloruro,,,
1347,Eter Glicerico Del Guayacol,,,
1348,Etidronato Disodio,,,
1350,Etilendiamina,,,
1351,Etilendiamina Dihidrocloruro,,,
1352,Etilfenil Barbiturico,,,
1354,Etilico Alcohol,,,
1355,Etilmercuritiosalicilato Sodio,,,
1356,Etilparaben,,,
4031,Etiodol,,,
1358,Etocaina,,,
1365,Eucalipto,,,
1366,Eucaliptol,,,
1367,Eucalyptus Globulus Hojas,,,
4083,Eugenol,,,
1368,Evernia Prunastri (l.) Ach.,,,
1375,Extracto Alergenico De Dermatophagoides Farinae,,,
1376,Extracto Alergenico De Dermatophagoides Pteronyssinus,,,
1378,Extracto Seco De Hiedra 10 %,,,
1380,Factor Antihemofilico B,,,
1381,Factor Antihemofilico Viii,,,
1382,Factor De Crecimiento Nervioso Humano Recombinante,,,
1383,Factor Estabilizador De Fibrina,,,
1385,Factor Ii,,,
1386,Factor Inhibidor De Liberacion De Hormona Del Crecimiento,,,
1388,Factor P-p,,,
1389,Factor Stuart,,,
1392,Factor Viii Humano,,,
1400,Famtozinameran,,,
1406,Feiba,,,
1412,Fenico Acido,,,
1413,Fenilalanina,,,
1414,Fenilazodiaminopiridina,,,
1416,Fenilbutirato De Glicerilo,,,
1417,Fenilbutirato Sodio,,,
1418,Fenilbutirico Acido,,,
1422,Feniletilbarbiturico,,,
1423,Feniletilmalonilcarbamida,,,
1425,Fenilmetano,,,
1442,Ferrocolina Citrato,,,
1457,Fitato Sodio,,,
1458,Fitico Acido,,,
