producto_id,sku,nombre_comercial,nucleo,molecula,forma,laboratorio
37767,ME36822/2,CITRATO DE CALCIO 1190 MG X 30 TABLETAS MASTICABLES SABOR A MANDARINA,CITRATO DE CALCIO,,TABLETAS,"CALOX INTERNATIONAL, C.A."
37769,ME42521,CITRAPOL SOLUCION,CITRAPOL SOLUCION,Citrico Acido,LOCION,"SM PHARMA, C.A."
37771,ME25929,CLARIX 0.25 MG / ML SOLUCION NASAL,CLARIX,,SOLUCION NASAL,"LABORATORIOS L.O. OFTALMI, C.A."
37774,ME23979,CLENBUNAL 0.005 MG / 5 ML SOLUCION ORAL,CLENBUNAL,,SOLUCION ORAL,MEGALABS S.A.
37775,ME29289,CLENBUNAL 0.014 MG / ML SOLUCION ORAL,CLENBUNAL,,SOLUCION ORAL,MEGALABS S.A.
37776,ME28118,CLENBUTEROL CLORHIDRATO 10 MCG / 5 ML JARABE,CLENBUTEROL CLORHIDRATO,,JARABE,"LABORATORIO PLUSANDEX DE FARMACEUTICOS UNIDOS, PLUSANDEX, C.A."
37777,ME31537,AMBROXOL-CLENBUTEROL 7.5 MG-0.005 MG / 5 ML SOLUCION ORAL,AMBROXOL-CLENBUTEROL,Ambroxol,SOLUCION ORAL,"LABORATORIOS KIMICEG, C.A."
37778,ME31538,AMBROXOL-CLENBUTEROL 15 MG - 0.01 MG / 5 ML SOLUION ORAL,AMBROXOL-CLENBUTEROL,Ambroxol,SOLUCION ORAL,"LABORATORIOS KIMICEG, C.A."
37787,ME33581,CLOFEN 1.8 MG / ML SUSPENSION ORAL,CLOFEN,,SUSPENSION ORAL,"ESPECIALIDADES DOLLDER, C.A."
37788,ME42956,CLOMIFENO CITRATO 50 MG X 30 TABLETAS,CLOMIFENO CITRATO,Clomifeno,TABLETAS,WEST-COAST PHARMACEUTICAL WORKS LTD
37794,HO31483/2,CLONIDINA CLORHIDRATO 0.150 MG / ML X 2 AMPOLLAS,CLONIDINA CLORHIDRATO,,INYECTABLE,"LABORATORIOS VALMOR, C.A."
37795,HO31483/3,CLONIDINA CLORHIDRATO 0.150 MG / ML X 30 AMPOLLAS,CLONIDINA CLORHIDRATO,,INYECTABLE,"LABORATORIOS VALMOR, C.A."
37810,ME29314,CLORACE 125 - 0.5 MG / 5 ML SOLUCION ORAL,CLORACE,,SOLUCION ORAL,"LABORATORIO COFASA, S.A."
39148,ME44238/2,CLORACE 500 MG – 4 MG X 10 GRANULOS PARA SOLUCION ORAL SABOR A LIMON,CLORACE,Acetaminofen - Clorfenamina,SOLUCION ORAL,"LABORATORIO COFASA, S.A."
39149,ME44238/3,CLORACE 500 MG – 4 MG X 20 GRANULOS PARA SOLUCION ORAL SABOR A LIMON,CLORACE,Acetaminofen - Clorfenamina,SOLUCION ORAL,"LABORATORIO COFASA, S.A."
37814,ME43585/4,DOPALEN 200 MG X 30 CAPSULAS DE LIBERACION PROLONGADA,DOPALEN,Mebeverina,CAPSULAS,"BIOTECH LABORATORIOS, C.A."
37816,ME43585/3,DOPALEN 200 MG X 20 CAPSULAS DE LIBERACION PROLONGADA,DOPALEN,Mebeverina,CAPSULAS,"BIOTECH LABORATORIOS, C.A."
37819,HO1672,SOLUCION ISOTONICA DE CLORURO DE SODIO(SOL.FISIOLOGICA)PARENTERAL,SOLUCION ISOTONICA DE CLORURO DE SODIO(SOL.FISIOLOGICA)PARENTERAL,,INYECTABLE,"LABORATORIOS FLUPAL, C.A."
37825,ME25498,CO-SULTRIN 40 MG - 200 MG / 5 ML X 20 SUSPENSION,CO-SULTRIN,,SUSPENSION ORAL,"LABORATORIOS VALMOR, C.A."
37827,ME44294,COZOMINA T 2 % - 0.5 % SOLUCION OFTALMICA,COZOMINA T,Dorzolamida - Timolol,SOLUCION OFTALMICA,"LABORATORIO COFASA, S.A."
37830,ME38685,COLGESIC 400 MG - 40 MG X 15 COMPRIMIDOS RECUBIERTOS,COLGESIC,Ibuprofeno - Tiocolchicosido,COMPRIMIDOS,"BIOTECH LABORATORIOS, C.A."
37831,ME34845,COLLOVAR SOLUCION,COLLOVAR SOLUCION,Lactico Acido - Salicilico Acido,LOCION,"LABORATORIOS VARGAS, S.A."
37832,ME1491,COLOZIN® (LACTOBACILLUS PLANTARUM - PEDIOCOCCUS ACIDILACTICI) 150 MG (3.0 X 10⁹ UFC) X 30 CAPSULAS,COLOZIN® (LACTOBACILLUS PLANTARUM - PEDIOCOCCUS ACIDILACTICI),,CAPSULAS,"AB-BIOTICS, S.A."
37841,ME35619/2,CORENTEL 10 MG X 10 COMPRIMIDOS RECUBIERTOS,CORENTEL,,COMPRIMIDOS,MEGALABS S.A.
37842,ME35619/3,CORENTEL 10 MG X 30 COMPRIMIDOS RECUBIERTOS,CORENTEL,,COMPRIMIDOS,MEGALABS S.A.
37844,ME39494/3,CORENTEL 1.25 MG X 30 COMPRIMIDOS RECUBIERTOS,CORENTEL,,COMPRIMIDOS,MEGALABS S.A.
37847,ME38312/2,COROPRES HCT 16 MG - 12.5 MG X 10 COMPRIMIDOS,COROPRES HCT,Candesartan Cilexetilo - Hidroclorotiazida,COMPRIMIDOS,MEGALABS S.A.
37848,ME38312/3,COROPRES HCT 16 MG - 12.5 MG X 30 COMPRIMIDOS,COROPRES HCT,Candesartan Cilexetilo - Hidroclorotiazida,COMPRIMIDOS,MEGALABS S.A.
37850,ME44702,CORTYNASE PLUS 50 MCG - 140 MCG / DOSIS SUSPENSION NASAL,CORTYNASE PLUS,Azelastina - Mometasona Furoato,SOLUCION NASAL,"LABORATORIOS L.O. OFTALMI, C.A."
37864,ME30715/4,DALTAZEN 60 MG X 30 COMPRIMIDOS,DALTAZEN,Diltiazem,COMPRIMIDOS,MEGALABS S.A.
37865,HO33373,DECA LENTERMINA COMPLEX SOLUCION INYECTABLE,DECA LENTERMINA COMPLEX SOLUCION INYECTABLE,,INYECTABLE,"BIOTECH LABORATORIOS, C.A."
37866,HO13931,DECALONA 4 MG / ML X 1 AMPOLLA,DECALONA,,INYECTABLE,"BIOTECH LABORATORIOS, C.A."
37877,ME4931,DENCORUB CREMA,DENCORUB CREMA,Alcanfor - Mentol - Salicilato Metilo,CREMA,"LABORATORIOS PONCE, C.A."
37882,MI37676,DERMACORTINE 0.1 % EMULSION,DERMACORTINE,Mometasona,INYECTABLE,MEGALABS S.A.
38961,ME44594/2,DEROVIT 5000 UI X 60 CAPSULAS BLANDAS,DEROVIT,Vitamina D3,CAPSULAS,"INDUSTRIAS INTERCAPS DE VENEZUELA, C.A."
38962,ME44594/3,DEROVIT 5000 UI X 100 CAPSULAS BLANDAS,DEROVIT,Vitamina D3,CAPSULAS,"INDUSTRIAS INTERCAPS DE VENEZUELA, C.A."
37903,HO43012,DEXAMETASONA FOSFATO 8 MG / 2 ML X 1 AMPOLLA,DEXAMETASONA FOSFATO,Dexametasona,INYECTABLE,"LABORATORIOS VALMOR, C.A."
37906,ME44066,DEXKETOPROFENO 25 MG / 10 ML X 20 SOLUCION ORAL,DEXKETOPROFENO,Dexketoprofeno Trometamol,SOLUCION ORAL,"CALOX INTERNATIONAL, C.A."
37907,ME42573,DEXTAMIN 0.5 MG / ML X 10 SOLUCION ORAL,DEXTAMIN,Desloratadina,SOLUCION ORAL,"LABORATORIO PLUSANDEX DE FARMACEUTICOS UNIDOS, PLUSANDEX, C.A."
37912,ME10432,DI-EUDRIN 50 MG X 30 TABLETAS,DI-EUDRIN,Hidroclorotiazida,TABLETAS,"BIOTECH LABORATORIOS, C.A."
37918,ME35040,DIAGESIC 1.8 MG / ML SUSPENSION ORAL,DIAGESIC,,SUSPENSION ORAL,"BIOTECH LABORATORIOS, C.A."
37919,ME24715,DIANE 35 MCG - 2 MG X 21 GRAGEAS,DIANE,Etinilestradiol,GRAGEAS,UNIAO QUIMICA INTERNACIONAL LTDA.
