id,sku,nombre_comercial,foto_url
37969,ME27426/2,DOLAK 10 MG X 10 COMPRIMIDOS,
37970,ME27438,DOLAK 20 MG X 10 COMPRIMIDOS RECUBIERTOS,
39489,ME38932/4,DOLAK 30 MG X 4 COMPRIMIDOS SUBLINGUALES,
37972,ME32091,DOLKIDS 160 MG X 20 TABLETAS MASTICABLES,
37973,ME42184,DOLNIX 150 MG X 20 CAPSULAS,
37977,ME36325,DOMPESIN 10 MG X 30 COMPRIMIDOS,
37978,ME38983,DOMPESIN 1 MG / ML SUSPENSION,
37981,ME32119/4,DORIXINA FLEX 125 MG - 5 MG X 20 COMPRIMIDOS RECUBIERTOS,
37982,ME32119/2,DORIXINA FLEX 125 MG - 5 MG X 5 COMPRIMIDOS RECUBIERTOS,
37986,ME21021,DOXIUM 500 MG X 30 CAPSULAS,
37988,ME32615/3,DUROVAL 50 MG X 2 TABLETAS RECUBIERTAS,
37989,ME32615/2,DUROVAL 50 MG X 1 TABLETA RECUBIERTA,
37990,ME32615/4,DUROVAL 50 MG X 3 TABLETAS RECUBIERTAS,
37994,ME11176,DUVADILAN 10 MG X 30 COMPRIMIDOS,
37995,ME36415,EDAGAN 200 MG X 30 COMPRIMIDOS RECUBIERTOS,
37996,ME36330,EDAGAN 25 MG X 30 COMPRIMIDOS RECUBIERTOS,
37997,HO30096,EDEMID 10 MG / ML X 5 AMPOLLAS,
38009,ME43715,EPITRAL 25 MG X 30 TABLETAS,
38010,ME42128,EPITRAL 100 MG X 30 TABLETAS,
38011,ME42127,EPITRAL 50 MG X 30 TABLETAS,
38013,ME39415,ERILON 0.05 % CREMA,
39201,ME19270,ERILON 0.1 % CREMA,
38027,ME40578,ESMIRTAL 20 MG X 30 COMPRIMIDOS RECUBIERTOS,
38028,ME44181,ESOCOF 10 MG X 30 TABLETAS RECUBIERTAS,
38038,ME35407/3,ESOZ 20 MG X 14 TABLETAS RECUBIERTAS,
38039,ME35407/4,ESOZ 20 MG X 28 TABLETAS RECUBIERTAS,
38040,ME35407/2,ESOZ 20 MG X 7 TABLETAS RECUBIERTAS,
38041,ME34984/3,ESOZ 40 MG X 14 TABLETAS RECUBIERTAS DE LIBERACION RETARDADA,
38042,ME34984/4,ESOZ 40 MG X 28 TABLETAS RECUBIERTAS DE LIBERACION RETARDADA,
38043,ME34984/2,ESOZ 40 MG X 7 TABLETAS RECUBIERTAS DE LIBERACION RETARDADA,
38049,ME40159,ESQUIDONE 2 MG X 30 TABLETAS RECUBIERTAS,
38050,ME39561,ESQUIDONE 3 MG X 30 TABLETAS RECUBIERTAS,
38053,ME39929,EUKENE 40 MG X 30 COMPRIMIDOS RECUBIERTOS,
39204,ME39326,EUKENE 20 MG COMPRIMIDOS RECUBIERTOS,
38054,ME42010,EUKENE HCT 40 MG - 12.5 MG X 30 COMPRIMIDOS RECUBIERTOS,
38055,ME42009,EUKENE HCT 40 MG - 25 MG X 30 COMPRIMIDOS RECUBIERTOS,
38056,ME23115/3,EUSILEN 4 MG X 15 COMPRIMIDOS,
38057,ME23115/2,EUSILEN 4 MG X 8 COMPRIMIDOS,
39205,HO27693/2,EUSILEN 4 MG / 2 ML X 1 AMPOLLA,
39206,HO27693/3,EUSILEN 4 MG / 2 ML X 2 AMPOLLAS,
38058,ME39742,EUTEBROL 20 MG X 30 COMPRIMIDOS,
38059,ME44070,EVABOLIN 25 MG X 30 TABLETAS RECUBIERTAS,
38060,ME43622,EXOM 20 MG X 14 CAPSULAS CON MICROGRANULOS GASTRORRESISTENTES,
38061,ME43210,EXOVIS DUO 875 MG - 125 MG X 14 TABLETAS RECUBIERTAS,
38062,ME43398,EZOLIUM 20 MG X 30 CAPSULAS,
