producto_id,nombre,sku,fuente,principio_activo,molecula_enlazada,ref_id,atc_id
37925,DICLOFENAC POT X 10 UNIDADES,MI35435/3,INHRR,DICLOFENACO POTASICO,Diclofenaco,1073,2675
37926,DICLOFENAC POT X 30 UNIDADES,MI35435/4,INHRR,DICLOFENACO POTASICO,Diclofenaco,1073,2675
37927,DICLOFENACO SODICO 75 MG / 3 ML X 1 AMPOLLA,HO36803/2,INHRR,DICLOFENAC SODICO,Diclofenaco,1073,2675
37928,DICLOFENACO SODICO 75 MG / 3 ML X 10 AMPOLLAS,HO36803/3,INHRR,DICLOFENAC SODICO,Diclofenaco,1073,2675
37933,DICLOFENAC SODICO 50 MG TABLETAS RECUBIERTAS,ME29516,INHRR,DICLOFENAC SODICO,Diclofenaco,1073,2675
37946,DIKLASON 1.8 MG / ML SUSPENSION ORAL,ME34580,INHRR,DICLOFENACO ÁCIDO,Diclofenaco,1073,2675
37949,DILUXEN 60 MG X 20 TABLETAS,ME42159,INHRR,BROMURO DE PIRIDOSTIGMINA,Piridostigmina,2787,5604
37958,DIPIDOL 500 MG / ML X 3 AMPOLLAS,HO30051,INHRR,METAMIZOL SODICO,Metamizol,2271,5041
37979,DONEPEZILO CLORHIDRATO 10 MG X 56 CAPSULAS,ME44460/3,INHRR,CLORHIDRATO DE DONEPEZILO - CLORHIDRATO DE DONEPEZILO,Donepezilo,4026,5588
37980,DONEPEZILO CLORHIDRATO 10 MG X 10 CAPSULAS,ME44460/2,INHRR,CLORHIDRATO DE DONEPEZILO - CLORHIDRATO DE DONEPEZILO,Donepezilo,4026,5588
37981,DORIXINA FLEX 125 MG - 5 MG X 20 COMPRIMIDOS RECUBIERTOS,ME32119/4,INHRR,CLONIXINATO DE LISINA - CICLOBENZAPRINA CLORHIDRATO,Ciclobenzaprina,726,4790
37981,DORIXINA FLEX 125 MG - 5 MG X 20 COMPRIMIDOS RECUBIERTOS,ME32119/4,INHRR,CLONIXINATO DE LISINA - CICLOBENZAPRINA CLORHIDRATO,Clonixino Lisina,831,1222
37982,DORIXINA FLEX 125 MG - 5 MG X 5 COMPRIMIDOS RECUBIERTOS,ME32119/2,INHRR,CLONIXINATO DE LISINA - CICLOBENZAPRINA CLORHIDRATO,Ciclobenzaprina,726,4790
37982,DORIXINA FLEX 125 MG - 5 MG X 5 COMPRIMIDOS RECUBIERTOS,ME32119/2,INHRR,CLONIXINATO DE LISINA - CICLOBENZAPRINA CLORHIDRATO,Clonixino Lisina,831,1222
37983,DORIXINA FLEX 125 MG - 5 MG X 10 COMPRIMIDOS RECUBIERTOS,ME32119/3,INHRR,CLONIXINATO DE LISINA - CICLOBENZAPRINA CLORHIDRATO,Ciclobenzaprina,726,4790
