producto_id,sku,nombre_comercial,nucleo,molecula,forma,laboratorio,motivo
37960,ME37926,PENTASA 500 MG X 30 COMPRIMIDOS DE LIBERACION PROLONGADA,PENTASA,Mesalazina,COMPRIMIDOS,"FERRING INTERNATIONAL CENTER, S.A.",sin_desc_lab
37964,HO42487,DOBUTAMINA 250 MG / 5 ML X 5 AMPOLLAS,DOBUTAMINA,Dobutamina,INYECTABLE,"LABORATORIO BIOSANO, S.A.",sin_desc_lab
37974,ME44581/2,DOMPERIDONA 10 MG X 10 TABLETAS,DOMPERIDONA,Domperidona,TABLETAS,"ANMOL HEALTHCARE LABORATORY PVT, LTD",sin_desc_lab
37975,ME44581/3,DOMPERIDONA 10 MG X 15 TABLETAS,DOMPERIDONA,Domperidona,TABLETAS,"ANMOL HEALTHCARE LABORATORY PVT, LTD",sin_desc_lab
37976,ME44581/4,DOMPERIDONA 10 MG X 30 TABLETAS,DOMPERIDONA,Domperidona,TABLETAS,"ANMOL HEALTHCARE LABORATORY PVT, LTD",sin_desc_lab
37984,ME43060,DOXICICLINA 100 MG X 10 CAPSULAS,DOXICICLINA,Doxiciclina Hiclato,CAPSULAS,FLAMINGO PHARMACEUTICALS LTD,sin_desc_lab
37987,ME42749,DULOXETINA 60 MG X 28 TABLETAS GASTRORRESISTENTES,DULOXETINA,Duloxetina,TABLETAS,HIRAL LABS LIMITED,sin_desc_lab
37992,ME44389/2,TAMSULON DUO 0.5 MG - 0.4 MG X 10 CAPSULAS DE LIBERACION PROLONGADA,TAMSULON DUO,Dutasterida - Tamsulosina,CAPSULAS,ASOFARMA S.A.I. Y C,sin_desc_lab
37993,ME44389/3,TAMSULON DUO 0.5 MG - 0.4 MG X 30 CAPSULAS DE LIBERACION PROLONGADA,TAMSULON DUO,Dutasterida - Tamsulosina,CAPSULAS,ASOFARMA S.A.I. Y C,sin_desc_lab
38014,ME37000,ERITROMICINA 500 MG X 10 TABLETAS RECUBIERTAS,ERITROMICINA,Eritromicina,TABLETAS,"GENFAR, S.A.",sin_desc_lab
38025,ME43340,ESCITALOPRAM 5 MG X 30 TABLETAS RECUBIERTAS,ESCITALOPRAM,,TABLETAS,RONALD PHARMACEUTICALS PVT. LTD.,sin_desc_lab
38026,ME43163,ESCITALOPRAM 10 MG X 28 TABLETAS RECUBIERTAS,ESCITALOPRAM,Escitalopram,TABLETAS,RONALD PHARMACEUTICALS PVT. LTD.,sin_desc_lab
38072,HO41409,FENITOINA SODICA 50 MG / ML SOLUCION INYECTABLE,FENITOINA SODICA,Fenitoina,INYECTABLE,VITALIS S.A.C.I.,sin_desc_lab
38073,HO35889/3,FENITOINA SODICA 250 MG / 5 ML X 30 AMPOLLAS,FENITOINA SODICA,Fenitoina,INYECTABLE,"LABORATORIO BIOSANO, S.A.",sin_desc_lab
38074,HO35889/2,FENITOINA SODICA 250 MG / 5 ML X 10 AMPOLLAS,FENITOINA SODICA,Fenitoina,INYECTABLE,"LABORATORIO BIOSANO, S.A.",sin_desc_lab
