producto_id,sku,nombre_comercial,nucleo,molecula,forma,laboratorio,categoria,fuente,gates,url_en_ledger,desc_candidata,foto_candidata,sigla,clave_real,lab_real,lab_nuevo,nota
38016,ME40959/2,ESCITALOPRAM 10 MG X 14 COMPRIMIDOS RECUBIERTOS,ESCITALOPRAM,Escitalopram,COMPRIMIDOS,MEGALABS S.A.,generico_otro_lab,cobeca,lab_generico,,ESCITALOPRAM TAB 10MG X14 CR LATT,https://mav.farmaciasaas.com/api/images/articulos/DISTRIBUCION/23490.jpg,CR LATT,CR LATT,"CASA DE REPRESENTACION LATTAN MEDIC, C.A.",si,
38019,ME40960/2,ESCITALOPRAM 20 MG X 28 COMPRIMIDOS RECUBIERTOS,ESCITALOPRAM,Escitalopram,COMPRIMIDOS,MEGALABS S.A.,generico_otro_lab,cobeca,lab_generico,,ESCITALOPRAM TAB 20MG X28 CLX,https://mav.farmaciasaas.com/api/images/articulos/DISTRIBUCION/53635.jpg,CLX,CLX,"CALOX INTERNATIONAL, C.A.",no,
38021,ME38504/3,ESCITALOPRAM 10 MG X 30 TABLETAS RECUBIERTAS,ESCITALOPRAM,,TABLETAS,CALOX INTERNATIONAL C.A.,generico_otro_lab,cobeca,lab_generico,,ESCITALOPRAM TAB 10MG X30 CLEO,https://mav.farmaciasaas.com/api/images/articulos/DISTRIBUCION/25666.jpg,CLEO,CLEO,"CORPORACION CLEOPHARMA, C.A.",si,
38023,ME41771/3,ESCITALOPRAM 20 MG X 30 TABLETAS RECUBIERTAS,ESCITALOPRAM,Escitalopram,TABLETAS,CALOX INTERNATIONAL C.A.,generico_otro_lab,cobeca,lab_generico,,ESCITALOPRAM TAB 20MG X 30 LA SANTE,https://mav.farmaciasaas.com/api/images/articulos/DISTRIBUCION/50533.jpg,LA SANTE,LA SANTE,"LABORATORIO LA SANTE, C.A.",no,
38025,ME43340,ESCITALOPRAM 5 MG X 30 TABLETAS RECUBIERTAS,ESCITALOPRAM,,TABLETAS,RONALD PHARMACEUTICALS PVT. LTD.,generico_otro_lab,cobeca,lab_generico,,ESCITALOPRAM TAB 5MG X30 CLEO,https://mav.farmaciasaas.com/api/images/articulos/DISTRIBUCION/25665.jpg,CLEO,CLEO,"CORPORACION CLEOPHARMA, C.A.",si,
38026,ME43163,ESCITALOPRAM 10 MG X 28 TABLETAS RECUBIERTAS,ESCITALOPRAM,Escitalopram,TABLETAS,RONALD PHARMACEUTICALS PVT. LTD.,generico_otro_lab,cobeca,lab_generico,,ESCITALOPRAM TAB REC 10MG X28 CLX,https://mav.farmaciasaas.com/api/images/articulos/DISTRIBUCION/22208.jpg,CLX,CLX,"CALOX INTERNATIONAL, C.A.",no,
38045,ME33352/2,ESPIRONOLACTONA 25 MG X 10 TABLETAS,ESPIRONOLACTONA,Espironolactona,TABLETAS,LABORATORIOS SIEGFRIED S.A.,generico_otro_lab,farmanselmo,lab_generico,,ESPIRONOLACTONA 25 MG 20 TABLETAS MEYER (E),https://pccentro.net.ve/img/s/2/4/9/9/8/24998-large_default.webp,MEYER,MEY,"LABORATORIOS SIEGFRIED, S.A.",no,
38088,ME36163,FEXOFENADINA CLORHIDRATO 180 MG X 10 TABLETAS RECUBIERTAS,FEXOFENADINA CLORHIDRATO,Fexofenadina,TABLETAS,CALOX INTERNATIONAL C.A.,generico_otro_lab,cobeca,lab_generico,,FEXOFENADINA CLORHID TAB 180MG X 10 FMED,https://mav.farmaciasaas.com/api/images/articulos/DISTRIBUCION/28713.jpg,FMED,FMED,"CASA DE REPRESENTACION FARMACOS MEDIORIENTE, C.A.",si,
38103,ME44088,FLAVOXATO 200 MG X 30 TABLETAS RECUBIERTAS,FLAVOXATO,Flavoxato,TABLETAS,JIANGXI SYNERGY PHARMACEUTICAL CO. LTD,generico_otro_lab,cobeca,lab_generico,,FLAVOXATO TAB 200MG X30 ANG/H,https://mav.farmaciasaas.com/api/images/articulos/DISTRIBUCION/23673.jpg,ANG/H,ANG/H,"INVERSIONES ANGELUS HEALTH, C.A.",si,
38104,ME41029,FLAVOXATO CLORHIDRATO 200 MG X 10 TABLETAS RECUBIERTAS,FLAVOXATO CLORHIDRATO,Flavoxato,TABLETAS,LABORATORIO LA SANTE C.A.,generico_otro_lab,cobeca,lab_generico,,FLAVOXATO TAB 200MG X10 CLX,https://mav.farmaciasaas.com/api/images/articulos/DISTRIBUCION/99485.jpg,CLX,CLX,"CALOX INTERNATIONAL, C.A.",no,
38112,ME41686,FLUCON 200 MG X 4 CAPSULAS,FLUCON,Fluconazol,CAPSULAS,MEGALABS S.A.,generico_otro_lab,cobeca,lab_generico,,FLUCONAZOL CAP 200MG X 4 GENFAR,https://mav.farmaciasaas.com/api/images/articulos/DISTRIBUCION/50070.jpg,GENFAR,GENFAR,"GENFAR, S.A.",no,
38113,HO36216,EXOMAX 200 MG / 100 ML X 1 AMPOLLA,EXOMAX,Fluconazol,INYECTABLE,BAXTER PHARMACEUTICALS INDIA PRIVATE LIMITED,generico_otro_lab,cobeca,lab_generico,,FLUCONAZOL SOL INY 200MG/100ML BLUE,https://mav.farmaciasaas.com/api/images/articulos/DISTRIBUCION/29940.jpg,BLUE,BLUE,"BLUE MEDICAL PHARMACEUTICAL, C.A.",si,
38118,ME43904,FLUCONAZOL 200 MG TABLETAS RECUBIERTAS,FLUCONAZOL,Fluconazol,TABLETAS,BOEHRINGER INGELHEIM PHARMA GMBH & CO. KG.,generico_otro_lab,cobeca,lab_generico,,FLUCONAZOL CAP 200MG X 4 GENFAR,https://mav.farmaciasaas.com/api/images/articulos/DISTRIBUCION/50070.jpg,GENFAR,GENFAR,"GENFAR, S.A.",no,
38119,HO40840,FLUCONAZOL 200 MG / 100 ML SOLUCION INYECTABLE INTRAVENOSA,FLUCONAZOL,Fluconazol,INYECTABLE,VITALIS S.A.C.I.,generico_otro_lab,cobeca,lab_generico,,FLUCONAZOL SOL INY 200MG/100ML BLUE,https://mav.farmaciasaas.com/api/images/articulos/DISTRIBUCION/29940.jpg,BLUE,BLUE,"BLUE MEDICAL PHARMACEUTICAL, C.A.",si,
38120,ME42709/2,FLUCONAZOL 150 MG X 2 TABLETAS,FLUCONAZOL,Fluconazol,TABLETAS,MASCOT HEALTH SERIES PVT. LTD.,generico_otro_lab,cobeca,lab_generico,,FLUCONAZOL CAP 150MG X2 LETI,https://mav.farmaciasaas.com/api/images/articulos/DISTRIBUCION/4546.jpg,LETI,LETI,"LABORATORIOS LETI, S.A.V.",no,
38121,ME42709/3,FLUCONAZOL 150 MG X 4 TABLETAS,FLUCONAZOL,Fluconazol,TABLETAS,MASCOT HEALTH SERIES PVT. LTD.,generico_otro_lab,cobeca,lab_generico,,FLUCONAZOL TAB 150MG X4 ZUZU,https://mav.farmaciasaas.com/api/images/articulos/DISTRIBUCION/52581.jpg,ZUZU,ZUZU,"LABORATORIOS ZUZU, C.A.",si,
38126,ME31214,FLUOXETINA 20 MG X 14 CAPSULAS,FLUOXETINA,,CAPSULAS,LABORATORIO LA SANTE C.A.,generico_otro_lab,cobeca,lab_generico,,FLUOXETINA CAP 20MG X14 BIOTECH,https://mav.farmaciasaas.com/api/images/articulos/DISTRIBUCION/3221.jpg,BIOTECH,BIOTECH,"BIOTECH LABORATORIOS, C.A.",no,
38128,ME28948,FLUOXETINA 20 MG X 28 CAPSULAS,FLUOXETINA,Fluoxetina,CAPSULAS,CALOX INTERNATIONAL C.A.,generico_otro_lab,cobeca,lab_generico,,FLUOXETINA CAP 20MG X28 PHARME,https://mav.farmaciasaas.com/api/images/articulos/DISTRIBUCION/50927.jpg,PHARME,PHARME,"LABORATORIO LA SANTE, C.A.",no,
38139,HO32365,FUROSEMIDA 20 MG / 2 ML X 3 AMPOLLAS,FUROSEMIDA,Furosemida,INYECTABLE,LABORATORIOS VALMOR C.A.,generico_otro_lab,cobeca,lab_generico,,FUROSEMIDA AMP 20MG/2ML X 3 DISTRILAB,https://mav.farmaciasaas.com/api/images/articulos/DISTRIBUCION/28787.jpg,DISTRILAB,DIST,"CASA DE REPRESENTACION DISTRILAB, C.A.",si,
38145,ME21300,FUROSEMIDA 40 MG X 24 TABLETAS,FUROSEMIDA,Furosemida,TABLETAS,PRODUCTOS FARMACEUTICOS PARA EL VIVIR VIVIENDO C.A. (PROFARMACOS C.A.),generico_otro_lab,cobeca,lab_generico,,FUROSEMIDA TAB 40MG X24 MEY,https://mav.farmaciasaas.com/api/images/articulos/DISTRIBUCION/5296.jpg,MEY,MEY,"LABORATORIOS SIEGFRIED, S.A.",no,
