id,sku,nombre_comercial,foto_url
38393,ME37256,LORECORT 1 MG - 0.05 MG / 5 ML SOLUCION ORAL,
38395,ME29469/4,LOSARTAN POTASICO 50 MG X 30 COMPRIMIDOS RECUBIERTOS,
38396,ME29469/2,LOSARTAN POTASICO 50 MG X 10 COMPRIMIDOS RECUBIERTOS,
38397,ME29469/3,LOSARTAN POTASICO 50 MG X 20 COMPRIMIDOS RECUBIERTOS,
38401,ME35008,LOSARTAN POTASICO 50 MG X 30 TABLETAS RECUBIERTAS,
38404,ME42945,LOSARTAN POTASICO 50 MG X 30 TABLETAS RECUBIERTAS,
38406,ME36110/3,LOSARTAN POTASICO - HIDROCLOROTIZADA 100 MG - 25 MG X 30 TABLETAS RECUBIERTAS,
38407,ME31205/2,LOSARTAN POTASICO 50 MG X 10 TABLETAS RECUBIERTAS,
38408,ME31205/4,LOSARTAN POTASICO 50 MG X 30 TABLETAS RECUBIERTAS,
38409,ME31205/3,LOSARTAN POTASICO 50 MG X 20 TABLETAS RECUBIERTAS,
38410,ME34265,LOSARTAN POTASICO 50 MG X 30 TABLETAS RECUBIERTAS,
38411,ME34979,LOSARTAN POTASICO 100 MG X 30 COMPRIMIDOS RECUBIERTOS,
38426,HO15879,MANITOL AL 18 % SOLUCION INYECTABLE INTRAVENOSA,
38439,ME30977,MELOXICAM 15 MG X 10 TABLETAS,
38440,ME30530,MELOXICAM 15 MG X 10 COMPRIMIDOS,
38441,ME30976,MELOXICAM 7.5 MG X 10 TABLETAS,
38453,ME43925/4,METFORMINA CLORHIDRATO 850 MG X 30 TABLETAS RECUBIERTAS,
38468,HO26028,METOCLOPRAMIDA 10 MG / 2 ML X 6 AMPOLLAS,
38480,ME31012,METRONIDAZOL BENZOIL 250 MG / 5 ML SUSPENSION ORAL,
38504,ME33690/2,MONTELUKAST 10 MG X 10 TABLETAS RECUBIERTAS,
38505,ME33690/3,MONTELUKAST 10 MG X 30 TABLETAS RECUBIERTAS,
38518,ME37302,MOXIFLOXACINA 400 MG X 5 TABLETAS RECUBIERTAS,
38520,ME20385,MUCOBROL 4 MG / 5 ML JARABE,
38534,ME31384/5,NEFROTAL H 50 MG - 12.5 MG X 30 COMPRIMIDOS RECUBIERTOS,
38543,HO7099/2,NEOSTIGMINA 0.5 MG / ML X 3 AMPOLLAS,
38553,ME25984/3,NIFEDIPINA 10 MG X 30 COMPRIMIDOS DISPERSABLES,
38565,ME44220/3,NITROFURANTOINA 50 MG X 30 TABLETAS RECUBIERTAS,
38577,ME27271/2,NOTOLAC 20 MG X 4 TABLETAS,
38597,ME27785/4,OMEPRAZOL 20 MG X 14 CAPSULAS CON MICROGRANULOS ENTERICOS,
38598,ME27785/5,OMEPRAZOL 20 MG X 28 CAPSULAS CON MICROGRANULOS ENTERICOS,
38601,ME28613/3,OMEPRAZOL 20 MG X 30 CAPSULAS CON MICROGRANULOS CON CUBIERTA ENTERICA,
38602,ME28613/2,OMEPRAZOL 20 MG X 8 CAPSULAS CON MICROGRANULOS CON CUBIERTA ENTERICA,
38610,ME41965/3,OMEPRAZOL 40 MG X 30 CAPSULAS GASTRORRESISTENTES,
38611,ME41965/2,OMEPRAZOL 40 MG X 10 CAPSULAS GASTRORRESISTENTES,
38615,ME30342,ONDANSETRON 4 MG X 10 COMPRIMIDOS,
38616,ME30344,ONDANSETRON 8 MG X 10 COMPRIMIDOS,
