id,campo,antes,despues
38364,nombre_comercial,LISOMUCIN 4 mg / 5 mL JARABE,LISOMUCIN 4 MG / 5 ML JARABE
38365,nombre_comercial,LISOMUCIN 8 mg / 5 mL JARABE,LISOMUCIN 8 MG / 5 ML JARABE
38366,nombre_comercial,LODESTAR 100 mg X 30 TABLETAS RECUBIERTAS,LODESTAR 100 MG X 30 TABLETAS RECUBIERTAS
38367,nombre_comercial,"LODESTAR HCT 50 mg - 12,5 mg X 30 TABLETAS RECUBIERTAS",LODESTAR HCT 50 MG - 12.5 MG X 30 TABLETAS RECUBIERTAS
38368,nombre_comercial,LODIPIN 10 mg X 10 COMPRIMIDOS,LODIPIN 10 MG X 10 COMPRIMIDOS
38369,nombre_comercial,LODIPIN VL 10 mg - 160 mg X 30 CAPSULAS,LODIPIN VL 10 MG - 160 MG X 30 CAPSULAS
38370,nombre_comercial,LOFLOX 400 mg X 10 TABLETAS RECUBIERTAS,LOFLOX 400 MG X 10 TABLETAS RECUBIERTAS
38371,nombre_comercial,LOGANIL 250 mg / 5 mL JARABE,LOGANIL 250 MG / 5 ML JARABE
38372,nombre_comercial,LOGANIL 100 mg / 5 mL JARABE,LOGANIL 100 MG / 5 ML JARABE
38373,nombre_comercial,LOKARIN 5 mg - 60 mg / 5 mL JARABE,LOKARIN 5 MG - 60 MG / 5 ML JARABE
38374,nombre_comercial,LONGACEF 400 mg X 5 CAPSULAS,LONGACEF 400 MG X 5 CAPSULAS
38375,nombre_comercial,LONGACEF 100 mg / 5 mL POLVO PARA SUSPENSION,LONGACEF 100 MG / 5 ML POLVO PARA SUSPENSION
38376,nombre_comercial,LOPERAM 2 mg X 4 TABLETAS,LOPERAM 2 MG X 4 TABLETAS
38377,nombre_comercial,LOPERAM 2 mg X 10 TABLETAS,LOPERAM 2 MG X 10 TABLETAS
38378,nombre_comercial,LOPERAMIDA 2 mg X 10 TABLETAS,LOPERAMIDA 2 MG X 10 TABLETAS
38379,nombre_comercial,LOPERAMIDA 2 mg X 100 COMPRIMIDOS,LOPERAMIDA 2 MG X 100 COMPRIMIDOS
38380,nombre_comercial,LORADEX 10 mg X 10 TABLETAS,LORADEX 10 MG X 10 TABLETAS
38381,nombre_comercial,LORATADINA 10 mg X 10 COMPRIMIDOS,LORATADINA 10 MG X 10 COMPRIMIDOS
38382,nombre_comercial,LORATADINA 1 mg / mL JARABE,LORATADINA 1 MG / ML JARABE
38383,nombre_comercial,LORATADINA 10 mg X 10 TABLETAS,LORATADINA 10 MG X 10 TABLETAS
38384,nombre_comercial,LORATADINA 10 mg X 20 TABLETAS,LORATADINA 10 MG X 20 TABLETAS
38385,nombre_comercial,LORATADINA - AMBROXOL CLORHIDRATO 5 mg - 30 mg / 5 mL SOLUCION ORAL,LORATADINA - AMBROXOL CLORHIDRATO 5 MG - 30 MG / 5 ML SOLUCION ORAL
38386,nombre_comercial,LORATADINA 5 mg / 5 mL JARABE,LORATADINA 5 MG / 5 ML JARABE
38387,nombre_comercial,LORATADINA 10 mg X 10 TABLETAS,LORATADINA 10 MG X 10 TABLETAS
38388,nombre_comercial,LORATADINA 10 mg X 10 TABLETAS,LORATADINA 10 MG X 10 TABLETAS
38389,nombre_comercial,LORATADINA - AMBROXOL CLORHIDRATO 5 mg - 30 mg X 10 TABLETAS,LORATADINA - AMBROXOL CLORHIDRATO 5 MG - 30 MG X 10 TABLETAS
38390,nombre_comercial,"LORATADINA - BETAMETASONA 5 mg - 0,25 mg COMPRIMIDOS",LORATADINA - BETAMETASONA 5 MG - 0.25 MG COMPRIMIDOS
38391,nombre_comercial,LORAVAL 5 mg / 5 mL JARABE,LORAVAL 5 MG / 5 ML JARABE
38392,nombre_comercial,LORAVAL 10 mg X 10 TABLETAS,LORAVAL 10 MG X 10 TABLETAS
38393,nombre_comercial,"LORECORT 1 mg - 0,05 mg / 5mL SOLUCION ORAL",LORECORT 1 MG - 0.05 MG / 5 ML SOLUCION ORAL
38394,nombre_comercial,LOREX 1 mg / mL JARABE,LOREX 1 MG / ML JARABE
